DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,KANDIA,BANACOUROU SAMBA,1,505,CLASSE CE2
VELINGARA,KANDIA,DIALAKA,1,245,CLASSE CE2
VELINGARA,KANDIA,DIALAKA,2,245,CLASSE CM1
VELINGARA,KANDIA,DIALAKEGNI,1,287,CLASSE CM1
VELINGARA,KANDIA,DOUBIROU,1,458,CLASSE CM1
VELINGARA,KANDIA,DOUBIROU,2,459,CLASSE CE2
VELINGARA,KANDIA,ECOLE DJIDA MOUDOU,1,219,CE2
VELINGARA,KANDIA,ECOLE MADINA DIAMBERE,1,253,CI
VELINGARA,KANDIA,KAEL BESSEL,1,304,CLASSE CM2
VELINGARA,KANDIA,KANDIA,1,502,CLASSE CM1
VELINGARA,KANDIA,KANDIA,2,498,CLASSE CM2
VELINGARA,KANDIA,KEREVANE,1,378,CLASSE CE2
VELINGARA,KANDIA,LAMBATARA,1,168,CLASSE CE2
VELINGARA,KANDIA,LAMBATARA,2,168,CLASSE CP
VELINGARA,KANDIA,MADINA MARI CISSE,1,327,CLASSE CM2
VELINGARA,KANDIA,MADINA MARI CISSE,2,329,CLASSE CE2
VELINGARA,KANDIA,MADINA SAMBA DIALLO,1,147,CLASSE CM1
VELINGARA,KANDIA,MEDINA ADJA,1,354,CLASSE CM1
VELINGARA,KANDIA,MOUNTOUMBA,1,359,CLASSE CM1
VELINGARA,KANDIA,SARE BOULEL,1,309,CLASSE CM2
VELINGARA,KANDIA,SARE BOULEL,2,310,CLASSE CM1
VELINGARA,KANDIA,SARE YERO META,1,259,CLASSE CM1
VELINGARA,KANDIA,SINTHIANG BADION,1,334,ABRI PROVISOIRE
VELINGARA,KANDIA,TEMENTO DEMBA MBALLO,1,355,CLASSE CM1
VELINGARA,KANDIA,TEMENTO FARAMBA,1,295,CLASSE CM2
