DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,KOUNKANE,KOUNKANE 1,1,583.0,CLASSE CE1
VELINGARA,KOUNKANE,KOUNKANE 1,2,583.0,CLASSE CE2
VELINGARA,KOUNKANE,KOUNKANE 1,3,585.0,CLASSE CM1
VELINGARA,KOUNKANE,KOUNKANE 1,4,583.0,CLASSE CM2
VELINGARA,KOUNKANE,KOUNKANE 2,1,574.0,CLASSE CE2
VELINGARA,KOUNKANE,KOUNKANE 2,2,573.0,CLASSE CE1
VELINGARA,KOUNKANE,KOUNKANE 2,3,573.0,CLASSE CM2
VELINGARA,KOUNKANE,KOUNKANE 2,4,119.0,CLASSE CM1 B
VELINGARA,KOUNKANE,KOUNKANE 3,1,531.0,CLASSE CE2
VELINGARA,KOUNKANE,KOUNKANE 3,2,541.0,CLASSE CM1
VELINGARA,KOUNKANE,KOUNKANE 3,3,449.0,CLASSE CM2
VELINGARA,KOUNKANE,NDORNA BOUNDA,1,322.0,CLASSE CM2
