DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,LINKERING,AFIA MBEMBA,1,418,ECOLE PUBLIQUE CM2
VELINGARA,LINKERING,AFIA MBEMBA,2,411,ECOLE PUBLIQUE SALLE DE CLASSE
VELINGARA,LINKERING,AKANE,1,216,SALLE DE CLASSE CE 2
VELINGARA,LINKERING,AYNEMADI KOUNDIAMA,1,265,SALLE DE CLASSE N°1
VELINGARA,LINKERING,BOUMOUNE,1,183,SALLE DE CLASSE N°1
VELINGARA,LINKERING,DEMBAGNAMA,1,134,SALLE DE CLASSE CP
VELINGARA,LINKERING,KENEBA PAKANE,1,201,SALLE DE CLASSE
VELINGARA,LINKERING,KOEL,1,203,SALLE DE CLASSE CE 1
VELINGARA,LINKERING,LINKERING,1,538,SALLE DE CLASSE CE 1
VELINGARA,LINKERING,LINKERING,2,539,SALLE DE CLASSE CM 2
VELINGARA,LINKERING,LINKERING,3,539,SALLE DE CLASSE CI
VELINGARA,LINKERING,LISLAM,1,453,SALLE DE CLASSE
VELINGARA,LINKERING,MISSIRA SAMBA,1,413,SALLE DE CLASSE CP
VELINGARA,LINKERING,SANSANCOTO,1,258,SALLE DE CLASSE CE 2
VELINGARA,LINKERING,SARE OURA,1,328,SALLE DE CLASSE CM 1
VELINGARA,LINKERING,TEMENTO PAKANE,1,177,SALLE DE CLASSE
VELINGARA,LINKERING,THIES PAKANE,1,202,SALLE DE CLASSE CM 1
VELINGARA,LINKERING,TONGUIA,1,411,SALLE DE CLASSE CM 1
VELINGARA,LINKERING,VELINGARA PAKANE,1,151,SALLE DE CLASSE CE 2
VELINGARA,LINKERING,WADYATOULAYE,1,568,ABRI PROVISOIRE
VELINGARA,LINKERING,WADYATOULAYE,2,66,ABRI PROVISOIRE
