DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,MEDINA GOUNASSE,AFIA,1,449,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,AFIA,2,452,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,AINEMADY,1,174,SALLE CASE SANTE
VELINGARA,MEDINA GOUNASSE,AMANATOULAYE GOUNASSE,1,378,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,AMANATOULAYE GOUNASSE,2,375,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,BARAKATOU,1,448,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,CHARAB,1,484,MAISON COMMUNAUTAIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,1,527,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,2,536,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,3,525,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,4,255,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,DAROU HIDJIRATOU GOUNASSE,1,408,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,DAYBATOU GOUNASSE,1,354,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,DAYBATOU GOUNASSE,2,354,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,FALAH,1,556,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,FALAH,2,136,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,FASS,1,226,SALLE CASE SANTE
VELINGARA,MEDINA GOUNASSE,KARAMATOU,1,320,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,KARAMATOU,2,320,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,1,582,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,2,579,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,3,580,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,4,578,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,5,580,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,6,579,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA PAKANE,1,329,SALLE DE CLASSE CM 1
VELINGARA,MEDINA GOUNASSE,MEDINA TOUAT,1,385,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA TOUAT,2,385,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MISSIRA FOURATH,1,581,SALLE CASE SANTE
VELINGARA,MEDINA GOUNASSE,MISSIRA KOUBA,1,198,SALLE DE CLASSE CI
VELINGARA,MEDINA GOUNASSE,MOUNDONG SANKOULE,1,282,SALLE DE CLASSE CE 2
VELINGARA,MEDINA GOUNASSE,MOUSDALIFA,1,419,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MOUSDALIFA,2,415,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MOUSFALA,1,357,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MOUSFALA,2,354,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 1,1,442,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 1,2,444,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 2,1,396,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 2,2,395,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 3,1,565,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 3,2,565,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NERE,1,560,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NERE,2,561,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,OUKAZA,1,329,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,OUKAZA,2,328,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,RABAT,1,296,SALLE DE CLASSE CM2
VELINGARA,MEDINA GOUNASSE,RAMATOULAYE,1,312,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,RAMATOULAYE,2,313,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,RAMATOULAYE,3,311,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,ROUNDE,1,412,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,ROUNDE,2,413,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,SOUNATOU,1,168,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,THIANCOUNG BOWE,1,262,ABRI PROVISOIRE
