DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,PAKOUR,ANAMBECOUTA,1,568,ECOLE CLASSE CE2
VELINGARA,PAKOUR,ARABE,1,133,CASE DE SANTE
VELINGARA,PAKOUR,DARA LABE,1,279,ECOLE CLASSE CE2
VELINGARA,PAKOUR,DIANKANCOUNDA,1,200,ECOLE DIANKANCOUNDA
VELINGARA,PAKOUR,DIAO COUNDA,1,235,ECOLE CLASSE CE1
VELINGARA,PAKOUR,ECOLE LINGUETO SAMBA,1,257,SALLE DE CLASSE
VELINGARA,PAKOUR,KAMBASSE,1,500,ECOLE CLASSE CM1
VELINGARA,PAKOUR,MANATO,1,435,ECOLE CLASSE CM2
VELINGARA,PAKOUR,PAKOUR,1,544,ECOLE CLASSE CI
VELINGARA,PAKOUR,PAKOUR,2,540,ECOLE CLASSE CE1
VELINGARA,PAKOUR,PAKOUR,3,540,ECOLE CLASSE CM2
VELINGARA,PAKOUR,PAKOUR MAOUNDE,1,367,ECOLE MATERNELLE
VELINGARA,PAKOUR,PANAGHAR,1,245,ECOLE CLASSE CM2
VELINGARA,PAKOUR,SAMBA COUNDA,1,400,ECOLE CLASSE CM2
