DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,SARE COLI SALLE,BARRICOUNDA,1,359,CLASSE CE1
VELINGARA,SARE COLI SALLE,DJIMINI,1,257,CLASSE CM2
VELINGARA,SARE COLI SALLE,ECOLE MADINA DIAKA,1,185,ECOLE SARE SAMBOU
VELINGARA,SARE COLI SALLE,FOULAMORI YERO,1,485,CLASSE CM2
VELINGARA,SARE COLI SALLE,KANSATANG,1,399,CLASSE CM2
VELINGARA,SARE COLI SALLE,KOPARA,1,576,CLASSE CE2
VELINGARA,SARE COLI SALLE,MBALLOCOUNDA THIERNO,1,276,CLASSE CI
VELINGARA,SARE COLI SALLE,MISSIRA BASSY,1,393,CLASSE CE2
VELINGARA,SARE COLI SALLE,MISSIRA BASSY,2,390,CLASSE CP
VELINGARA,SARE COLI SALLE,SARE BODIO,1,577,CLASSE CE2
VELINGARA,SARE COLI SALLE,SARE COLI SALLE,1,532,CLASSE CE2
VELINGARA,SARE COLI SALLE,SARE COLI SALLE,2,533,CLASSE CE1
VELINGARA,SARE COLI SALLE,SARE SAME BATI,1,563,CLASSE CM2
VELINGARA,SARE COLI SALLE,SARE SAME BATI,2,141,CLASSE CM1
VELINGARA,SARE COLI SALLE,SARE SAVADI,1,286,CLASSE CM1
VELINGARA,SARE COLI SALLE,SARE YEROYEL,1,351,CLASSE CE2
VELINGARA,SARE COLI SALLE,SARE YEROYEL,2,351,CLASSE CM1
VELINGARA,SARE COLI SALLE,SINTHIANG OUINOR 2,1,461,CLASSE CP
VELINGARA,SARE COLI SALLE,TEYEL,1,355,CLASSE CM2
VELINGARA,SARE COLI SALLE,TEYEL,2,356,CLASSE CI
