DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,SINTHIANG KOUNDARA,BOYNGUEL,1,312.0,SALLE DE CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,BOYNGUEL,2,314.0,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,COUMBADIOUMA,1,183.0,SALLE DE CLASSE CM 1
VELINGARA,SINTHIANG KOUNDARA,COUMBADIOUMA,2,182.0,SALLE DE CLASSE CE 2
VELINGARA,SINTHIANG KOUNDARA,DAROU SALAM MANDA,1,489.0,CLASSE CM2
VELINGARA,SINTHIANG KOUNDARA,DAROU SALAM MANDA,2,491.0,CLASSE CM1
VELINGARA,SINTHIANG KOUNDARA,DYABOUGOU COLI,1,218.0,CLASSE CE1
VELINGARA,SINTHIANG KOUNDARA,FOUDOU,1,259.0,SALLE DE CLASSE CI
VELINGARA,SINTHIANG KOUNDARA,GAMBISSARA,1,412.0,CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,HAMDALLAYE MALANG,1,252.0,CLASSE CM2
VELINGARA,SINTHIANG KOUNDARA,HERAMACONO 2,1,197.0,SALLE DE CLASSE N°1
VELINGARA,SINTHIANG KOUNDARA,KOURBAMBEY,1,421.0,SALLE DE CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,MALEA,1,339.0,SALLE DE CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,MANDA VILLAGE,1,206.0,ABRI PROVISOIRE
VELINGARA,SINTHIANG KOUNDARA,MBALLOCOUNDA,1,218.0,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,MEDINA HAFIA,1,330.0,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,RAWDATOU GOULOUMBOU,1,199.0,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG KOUNDARA,1,560.0,SALLE DE CLASSE CM 2
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG KOUNDARA,2,545.0,SALLE DE CLASSE CM 1
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG KOUNDARA,3,181.0,SALLE DE CLASSE CE2
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG MAMADOU EGUE,1,366.0,CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG SAMBA FOULA,1,327.0,SALLE DE CLASSE CE 2
VELINGARA,SINTHIANG KOUNDARA,TIMIN DALLAH,1,213.0,SALLE DE CLASSE CM 1
VELINGARA,SINTHIANG KOUNDARA,TIMIN DALLAH,2,213.0,SALLE DE CLASSE CE 2
