DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,1,559,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,2,559,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,DARA KHARA,1,296,ECOLE CLASSE CE2 A
KEBEMER,BANDEGNE OUOLOF,DIALGANE KANE,1,140,ECOLE CLASSE CE1 A
KEBEMER,BANDEGNE OUOLOF,GUEDJI SECK,1,164,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,MBADIAR,1,578,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,MBENGUENE OUOLOF,1,318,ABRI PROVISOIRE
KEBEMER,BANDEGNE OUOLOF,NDANGOUR NDIAYE,1,234,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,NDIEYE SEFOUR,1,392,ECOLE CLASSE CE 2
KEBEMER,BANDEGNE OUOLOF,NDOB DAROU MESSERE,1,496,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,NGARAF OUOLOF,1,589,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,PARBA DIENG,1,552,ECOLE CLASSE CE2 A
KEBEMER,BANDEGNE OUOLOF,PEKH TALL,1,370,ECOLE CLASSE CM 2
KEBEMER,BANDEGNE OUOLOF,PEKH TALL,2,368,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,SANTHIOU DIOCKOUL,1,123,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,SIVOL PEULH,1,574,ECOLE CLASSE CE 1
KEBEMER,BANDEGNE OUOLOF,TAYBA NDIOUGA,1,222,CLASSE CI
KEBEMER,BANDEGNE OUOLOF,THIARI LORO,1,196,ECOLE CLASSE CE 1
