DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,DAROU MARNANE,BAYTI MBARI BEYE,1,236.0,ABRI PROVISOIRE
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,1,583.0,CLASSE CM2
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,2,580.0,CLASSE CM1
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,3,578.0,CLASSE CE2
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,4,578.0,SALLE DE CLASSE
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,5,181.0,CLASSE CE1
KEBEMER,DAROU MARNANE,DAROU MARNANE HOTEL COMMUNAUTA,1,154.0,SALLE DELIBERATION
KEBEMER,DAROU MARNANE,DEKHEULE,1,168.0,POSTE DE SANTE
KEBEMER,DAROU MARNANE,FASS TOURE,1,563.0,POSTE DE SANTE
KEBEMER,DAROU MARNANE,KEUR MATAR BINTA OUOLOF,1,201.0,CASE DE SANTE
KEBEMER,DAROU MARNANE,KOCKI KADE,1,241.0,ECOLE CLASSE CM2
KEBEMER,DAROU MARNANE,NDIMBOLOGNE,1,292.0,CASE DE SANTE
KEBEMER,DAROU MARNANE,TOUBA ROFF,1,293.0,CLASSE CI
