DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,DAROU MOUSTI,ARAFAAT,1,541.0,CLASSE CP
KEBEMER,DAROU MOUSTI,BEUBEUNE 1,1,121.0,ABRI PROVISOIRE
KEBEMER,DAROU MOUSTI,BOULEL SECK,1,337.0,CLASSE CE1
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,1,524.0,SALLE 2
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,2,522.0,SALLE 4
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,3,523.0,SALLE 6
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,4,523.0,SALLE 7
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,5,521.0,SALLE 9
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,6,523.0,SALLE 11
KEBEMER,DAROU MOUSTI,DAROU DIOP,1,422.0,ECOLE CLASSE CE2
KEBEMER,DAROU MOUSTI,DAROU KRATIEL,1,266.0,CLASSE CI
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,1,506.0,CLASSE CM1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,2,506.0,CLASSE CM2
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,3,503.0,SALLE CE 1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,1,457.0,CLASSE CE1A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,2,456.0,CLASSE CE1B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,3,457.0,CLASSE CE2A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,4,458.0,CLASSE CE2B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,1,496.0,CLASSE CI
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,2,496.0,CLASSE CP
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,3,495.0,CLASSE CE1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,4,499.0,CLASSE CE2
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,5,495.0,CLASSE CM1A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,6,498.0,CLASSE CM1B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,7,492.0,CLASSE CM2A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,8,494.0,CLASSE CM1 B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,1,506.0,ECOLE DE NGOMENE CI A
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,2,506.0,ECOLE DE NGOMENE CI B
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,3,507.0,ECOLE DE NGOMENE CP
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,4,505.0,ECOLE DE NGOMENE CE1
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,5,505.0,ECOLE NGOMENE CP
KEBEMER,DAROU MOUSTI,DAROU RAHMANE 1,1,528.0,CLASSE CE1
KEBEMER,DAROU MOUSTI,DAROU RAHMANE 1,2,54.0,CLASSE CP
KEBEMER,DAROU MOUSTI,DIVANE,1,356.0,CASE DE SANTE
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,1,552.0,CLASSE CM2
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,2,549.0,CLASSE CM1
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,3,548.0,CLASSE CE2
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,4,552.0,CLASSE CI
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,1,550.0,CLASSE CE1
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,2,545.0,CLASSE CE2
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,3,550.0,CLASSE CM1
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,4,553.0,CLASSE CM2
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,5,309.0,CLASSE CI
KEBEMER,DAROU MOUSTI,NDANGOU OUOLOF,1,359.0,CASE DE SANTE
KEBEMER,DAROU MOUSTI,SARSARA,1,332.0,CLASSE CE1
KEBEMER,DAROU MOUSTI,SARSARA,2,331.0,CLASSE CE2
KEBEMER,DAROU MOUSTI,THIABOUGUEL,1,342.0,ECOLE
KEBEMER,DAROU MOUSTI,TOUBA PETEGNE,1,390.0,ABRI PROVISOIRE
