DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,1,543.0,CLASSE 16
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,2,540.0,CLASSE 08
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,3,542.0,CLASSE 11
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,4,550.0,CLASSE 04
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,5,538.0,CLASSE 06
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,6,539.0,CLASSE 09
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,1,563.0,CLASSE CE1 B
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,2,563.0,CLASSE CM 2 A
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,3,564.0,CLASSE CM1 B
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,4,562.0,CLASSE CE2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 5,1,546.0,CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 5,2,548.0,CLASSE CI
KEBEMER,KEBEMER,ECOLE KEBEMER 5,3,513.0,CLASSE CE2
KEBEMER,KEBEMER,ECOLE KEBEMER 5,4,436.0,CLASSE CM1 B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,1,577.0,SALLE DE CLASSE CE1 B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,2,573.0,SALLE DE CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 6,3,577.0,SALLE DE CLASSE CI B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,4,575.0,SALLE DE CLASSE CP B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,5,577.0,SALLE DE CLASSE CE2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 7,1,480.0,ECOLE KEBEMER 7 CLASSE CM2
KEBEMER,KEBEMER,ECOLE KEBEMER 7,2,481.0,ECOLE KEBEMER 7 CLASSE CM1
KEBEMER,KEBEMER,ECOLE KEBEMER 7,3,482.0,ECOLE KEBEMER 7 CLASSE CE1 A
KEBEMER,KEBEMER,ECOLE KEBEMER 7,4,481.0,ECOLE KEBEMER 7 CLASSE CP A
KEBEMER,KEBEMER,ECOLE KEBEMER 7,5,476.0,CP B
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,1,555.0,CLASSE CM2 B
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,2,554.0,CLASSE CE1 A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,3,556.0,CLASSE CI A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,4,553.0,SALLE DE CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,5,555.0,SALLE DE CLASSE CE2 B
KEBEMER,KEBEMER,NDAKHAR LAMANE,1,395.0,CLASSE CE 2
KEBEMER,KEBEMER,TOBBI DIOP,1,402.0,CLASSE CM 2
