DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,LORO,BAYTI MBEUSSINE,1,236.0,ABRI PROVISOIRE
KEBEMER,LORO,DIORO MAMA NDIAYE,1,268.0,ECOLE CLASSE CM1 A
KEBEMER,LORO,ECOLE LORO THIECKENE,1,351.0,CLASSE CE1A
KEBEMER,LORO,ECOLE LORO THIECKENE,2,352.0,CLASSE CM1A
KEBEMER,LORO,KABDOU,1,322.0,ECOLE CLASSE CM2 A
KEBEMER,LORO,KEUR AMADOU YALA,1,377.0,ECOLE CLASSE CE1 A
KEBEMER,LORO,KEUR AMADOU YALA,2,375.0,ECOLE CLASSE CM2 A
KEBEMER,LORO,KEUR SANOU DIENG,1,256.0,ECOLE CLASSE CI
KEBEMER,LORO,LORO NGUEYENE,1,348.0,ECOLE CLASSE CI
KEBEMER,LORO,LORO NGUEYENE,2,349.0,ECOLE CLASSE CP
KEBEMER,LORO,MBAR SECK,1,235.0,CASE DE SANTE
KEBEMER,LORO,MERINA KA TIDIANE,1,559.0,CASE DE SANTE
KEBEMER,LORO,MERINA KA TIDIANE,2,82.0,ABRI PROVISOIRE
KEBEMER,LORO,NDAM THILLA,1,134.0,CASE DE SANTE
KEBEMER,LORO,TAYIF NGANADO,1,177.0,ECOLE CLASSE CM2 A
KEBEMER,LORO,THIARENE SARR,1,123.0,ABRI PROVISOIRE
KEBEMER,LORO,THILMAKHA NGOL,1,350.0,ECOLE CLASSE CI
KEBEMER,LORO,THILMAKHA NGOL,2,349.0,ABRI PROVISOIRE
