DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,MBADIANE,DAROU KOSSO,1,361.0,ECOLE CLASSE CE 2
KEBEMER,MBADIANE,DAROU MINAME,1,302.0,ECOLE CLASSE CI
KEBEMER,MBADIANE,DAROU VAHAB,1,362.0,CLASSE CM1
KEBEMER,MBADIANE,MBADIANE,1,537.0,CLASSE CE1
KEBEMER,MBADIANE,MBADIANE,2,538.0,CLASSE CM1
KEBEMER,MBADIANE,NIOMRE,1,202.0,CASE DE SANTE
KEBEMER,MBADIANE,TAYIF DIOP,1,466.0,ECOLE CLASSE CE 2
KEBEMER,MBADIANE,THIAMENE 2,1,226.0,CASE DE SANTE
KEBEMER,MBADIANE,THIAWAGNE LALOYE,1,255.0,ECOLE CLASSE CE1
KEBEMER,MBADIANE,TINGUITI,1,288.0,ECOLE
