DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,NGOURANE OUOLOF,BAKHIYA NDIAYE,1,340.0,ECOLE CLASSE CE1 A
KEBEMER,NGOURANE OUOLOF,DIOKOUL FALL,1,376.0,ECOLE CLASSE CI
KEBEMER,NGOURANE OUOLOF,ECOLE NGOURANE OUOLOF,1,381.0,ECOLE CLASSE CE1 A
KEBEMER,NGOURANE OUOLOF,ECOLE NGOURANE OUOLOF,2,381.0,ECOLE CLASSE CM1 A
KEBEMER,NGOURANE OUOLOF,ECOLE NGOURANE OUOLOF,3,380.0,ECOLE CLASSE CM2 A
KEBEMER,NGOURANE OUOLOF,KHADJI GUEYE,1,348.0,ECOLE CLASSE CE2 A
KEBEMER,NGOURANE OUOLOF,KIR DIOM,1,173.0,ECOLE CLASSE CI
KEBEMER,NGOURANE OUOLOF,LOYENE SYLLA,1,310.0,ECOLE CLASSE CM2 A
KEBEMER,NGOURANE OUOLOF,MBAROM DIOP,1,464.0,ECOLE CLASSE CM1 A
KEBEMER,NGOURANE OUOLOF,MBISSIS DIA,1,147.0,ECOLE CLASSE CM1 A
KEBEMER,NGOURANE OUOLOF,MERINA TALL,1,200.0,ECOLE CLASSE CI
KEBEMER,NGOURANE OUOLOF,NDANGOUR NDIAYE,1,101.0,ABRI PROVISOIRE
KEBEMER,NGOURANE OUOLOF,NDJINIAKH FALL,1,451.0,ECOLE CLASSE CM1 A
KEBEMER,NGOURANE OUOLOF,NGAYE DIAWAR,1,375.0,ECOLE CLASSE CM1
KEBEMER,NGOURANE OUOLOF,THIECKENE SECK,1,310.0,ECOLE CLASSE CI
KEBEMER,NGOURANE OUOLOF,THIELBATI GOUMBALA,1,96.0,ABRI PROVISOIRE
