DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,SAGATA GUETH,BATTAL,1,275,ECOLE CLASSE CE1 A
KEBEMER,SAGATA GUETH,DEKHLE PEULH,1,349,ECOLE CLASSE CM2 A
KEBEMER,SAGATA GUETH,DIOKOUL 2,1,208,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,KANTAR DIAGNE,1,498,ECOLE CLASSE CM1 A
KEBEMER,SAGATA GUETH,KHELCOM PEULH,1,293,ECOLE CLASSE CE1 A
KEBEMER,SAGATA GUETH,KHELERE TALL,1,127,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,MAYAYE 2,1,331,ECOLE CLASSE CE1 A
KEBEMER,SAGATA GUETH,MBABOU GUEYE,1,267,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,NAMENE AMAR,1,255,ECOLE CLASSE CM1 A
KEBEMER,SAGATA GUETH,NDANCK BABOU,1,287,ECOLE CLASSE CE2 A
KEBEMER,SAGATA GUETH,NDIOBENE DIMB,1,229,ECOLE CLASSE CM1 A
KEBEMER,SAGATA GUETH,NDJIB NIASS,1,220,CASE DE SANTE
KEBEMER,SAGATA GUETH,NGUISDIAM DIOP,1,328,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,SAGATA,1,564,ECOLE CLASSE CP1 A
KEBEMER,SAGATA GUETH,SAGATA,2,560,ECOLE CLASSE CM2 A
KEBEMER,SAGATA GUETH,SAGATA,3,563,LYCEE SAGATTA GUETH
KEBEMER,SAGATA GUETH,SAGATA,4,562,ECOLE CLASSE CM1 B
KEBEMER,SAGATA GUETH,THIEGNE SAGATA,1,228,ECOLE CLASSE CI
KEBEMER,SAGATA GUETH,TOUBA KADIOR,1,347,ECOLE CLASSE CI
KEBEMER,SAGATA GUETH,TOUBA KADIOR,2,345,ECOLE CLASSE CP
KEBEMER,SAGATA GUETH,YERO BABOU,1,218,ABRI PROVISOIRE
