DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,SAM YABAL,GOULADJI,1,203,ECOLE
KEBEMER,SAM YABAL,MORE DAGA,1,276,CLASSE CI 1
KEBEMER,SAM YABAL,NDIARAP,1,138,SITE ANCIENNE MOSQUEE
KEBEMER,SAM YABAL,NGANADO BASSALI,1,299,CLASSE CE 1
KEBEMER,SAM YABAL,NGANADO BASSALI,2,300,CLASSE CE 2
KEBEMER,SAM YABAL,NGOUDIOURA,1,412,ABRI PROVISOIRE
KEBEMER,SAM YABAL,SAM YABAL,1,438,HOTEL COMMUNAUTAIRE
KEBEMER,SAM YABAL,SAM YABAL,2,437,HOTEL COMMUNAUTAIRE
KEBEMER,SAM YABAL,SAM YABAL,3,438,CASE DES TOUT-PETITS
KEBEMER,SAM YABAL,SAM YABAL,4,437,CASE DES TOUT-PETITS
KEBEMER,SAM YABAL,YABAL,1,269,CLASSE CI 1
