DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,BOULAL,BELAL BOCKI,1,469,ABRI PROVISOIRE
LINGUERE,BOULAL,BELTHIASKY BOCKY,1,297,ABRI PROVISOIRE
LINGUERE,BOULAL,BOCKI SABOUDOU 1,1,295,CLASSE CI / CE1
LINGUERE,BOULAL,BOULAL ECOLE 1,1,484,CI
LINGUERE,BOULAL,BOULAL ECOLE 1,2,483,CP
LINGUERE,BOULAL,BOULAL ECOLE 1,3,483,CE1
LINGUERE,BOULAL,BOULAL ECOLE 1,4,482,CE2
LINGUERE,BOULAL,BOULAL ECOLE 1,5,483,CM2
LINGUERE,BOULAL,GARDY KOYLI GOOTI,1,152,ABRI PROVISOIRE
LINGUERE,BOULAL,GOUEDIA,1,255,SALLE 1
LINGUERE,BOULAL,GOUEDIA,2,255,SALLE 2
LINGUERE,BOULAL,GUELI BOULAL,1,234,ECOLE CLASSE CP
LINGUERE,BOULAL,GUELI LOUMBAL,1,207,ECOLE CLASSE CE2
LINGUERE,BOULAL,MBOUSSOBE PEULH,1,147,ECOLE CE1
LINGUERE,BOULAL,NDIAO DIEVAL,1,175,ECOLE CLASSE CE1
LINGUERE,BOULAL,PATOUDE,1,205,ECOLE ELEMENTAIRE
LINGUERE,BOULAL,THIEYENNE,1,364,ECOLE CLASSE CP / CE1
LINGUERE,BOULAL,THIEYENNE,2,364,ECOLE CLASSE CM1
LINGUERE,BOULAL,TOUBA PAKHA,1,103,ECOLE ELEMENTAIRE
LINGUERE,BOULAL,VINDOU NAMARY 1,1,271,ECOLE CLASSE CI / CE2
LINGUERE,BOULAL,YATTY 1,1,430,ABRI PROVISOIRE
