DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,DAHRA,CENTRE HUNGER PROJET,1,589,ECOLE NDIAMBOR DAHRA CE2 B
LINGUERE,DAHRA,CENTRE HUNGER PROJET,2,590,ECOLE NDIAMBOR DAHRA CM1 A
LINGUERE,DAHRA,CENTRE HUNGER PROJET,3,586,ECOLE NDIAMBOR DAHRA CM1 B
LINGUERE,DAHRA,ECOLE 4,1,584,CM1 B
LINGUERE,DAHRA,ECOLE 4,2,584,CE2 A
LINGUERE,DAHRA,ECOLE 4,3,584,CE2 B
LINGUERE,DAHRA,ECOLE 4,4,586,CE1 A
LINGUERE,DAHRA,ECOLE 4,5,585,CE1 B
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,1,595,CI A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,2,596,CI B
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,3,595,CP A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,4,595,CP B
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,5,597,CE1 A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,6,595,CE2 A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,7,596,CE2 B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,1,574,CI A
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,2,575,CI B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,3,576,CP A
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,4,574,CP B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,5,574,CE2 A
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,6,576,CE2 B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,7,571,CM1 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,1,586,CI A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,2,587,CP A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,3,587,CP C
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,4,586,CE1 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,5,587,CM1 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,6,585,CM2 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,7,586,CM2 B
LINGUERE,DAHRA,ECOLE NGOM,1,565,CLASSE CP B
LINGUERE,DAHRA,ECOLE NGOM,2,565,CLASSE CE1 B
LINGUERE,DAHRA,ECOLE NGOM,3,564,CLASSE CM1 A
LINGUERE,DAHRA,ECOLE NGOM,4,560,CLASSE CM2 B
LINGUERE,DAHRA,ECOLE NGOM,5,210,CLASSE CE2 A
