DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,DEALY,BALLODJI,1,268,ECOLE ELEMENTAIRE CLASSE CE1
LINGUERE,DEALY,BELLY 2,1,447,ECOLE CLASSE CP
LINGUERE,DEALY,DAROU KHOUDOSS 1,1,285,ECOLE ELEMENTAIRE CLASSE CM1
LINGUERE,DEALY,DAROU SALAM MOURIDE,1,287,HUNGER PROJECT
LINGUERE,DEALY,DEALY ECOLE,1,491,ECOLE ELEMENTAIRE CLASSE CE1
LINGUERE,DEALY,DEALY ECOLE,2,491,CE2
LINGUERE,DEALY,DEALY ECOLE,3,490,CP
LINGUERE,DEALY,DEALY ECOLE,4,492,ECOLE ELEMENTAIRE CLASSE CM1
LINGUERE,DEALY,FOGNY DIATBY NDIALLA,1,470,ABRI PROVISOIRE
LINGUERE,DEALY,FOYLOLDE DJENGUEL,1,185,ABRI PROVISOIRE
LINGUERE,DEALY,KADE NDIAYENE,1,227,ECOLE CM1
LINGUERE,DEALY,KARKOUTHIE,1,275,ECOLE SALLE 3
LINGUERE,DEALY,LOUMBY VAVALDE SERERE,1,375,ECOLE CP
LINGUERE,DEALY,NGOHE DJOLOFF,1,339,ECOLE ELEMENTAIRE CLASSE CM1 / CM2
LINGUERE,DEALY,NGUILO ELHADJI MAMADOU,1,326,ABRI PROVISOIRE
LINGUERE,DEALY,NIAPABA MBAPP,1,334,ECOLE ELEMENTAIRE CLASSE CM1 / CM2
LINGUERE,DEALY,SAM FALL,1,472,ECOLE ELEMENTAIRE CLASSE CI / CP
LINGUERE,DEALY,TOUBA BOUSTANE,1,174,MAGASIN VILLAGEOIS
LINGUERE,DEALY,TOUBA SAM,1,189,ABRI PROVISOIRE
LINGUERE,DEALY,TOUBA SOURANG,1,285,ECOLE CM1
LINGUERE,DEALY,VINDOU LOUMBAL,1,490,ECOLE SALLE 1
LINGUERE,DEALY,VINDOU LOUMBAL,2,488,ECOLE SALLE 2
LINGUERE,DEALY,WANDE SERERE,1,233,ECOLE CLASSE CE1 / CE2
