DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,KAMBE,BELEL GUELOKY,1,203.0,ECOLE BELEL GUELOKY
LINGUERE,KAMBE,BELIHEL,1,411.0,CASE DE SANTE BELIHEL
LINGUERE,KAMBE,DAGA BELIHEL,1,106.0,ECOLE ELEMENTAIRE
LINGUERE,KAMBE,GOULOUM,1,306.0,ECOLE GOULOUM
LINGUERE,KAMBE,GOULOUM TEUGUE,1,149.0,ECOLE ELEMENTAIRE
LINGUERE,KAMBE,KAMBE,1,518.0,ECOLE KAMBE
LINGUERE,KAMBE,LOUYE,1,264.0,ECOLE LOUYE
LINGUERE,KAMBE,MALEME,1,110.0,ABRI PROVISOIRE
LINGUERE,KAMBE,MBAYENE THIASDE,1,361.0,ECOLE MBAYENE THIASDE
LINGUERE,KAMBE,MBETHIO PEULH 1,1,280.0,ECOLE MBETHIO PEULLH 1
LINGUERE,KAMBE,MBEYENE BISNABE,1,127.0,ECOLE MBEYENE BISNABE
LINGUERE,KAMBE,MOUYE,1,261.0,ECOLE MOUYE
LINGUERE,KAMBE,NAVEL OUROURBE,1,212.0,CASE DE SANTE NAVEL OUROURBE
LINGUERE,KAMBE,NDIAO,1,130.0,ECOLE NDIAO
LINGUERE,KAMBE,NDIARNO,1,171.0,ECOLE NDIARNO
LINGUERE,KAMBE,NDOTHIE,1,442.0,ECOLE NDOTHIE
LINGUERE,KAMBE,NGOLLO MBELOGNE 1,1,256.0,ECOLE NGOLLO MBELOGNE 1
LINGUERE,KAMBE,NGOLLO NDIABA,1,111.0,ABRI PROVISOIRE PLACE PUBLIQUE
LINGUERE,KAMBE,ROTTO ERY,1,302.0,CLASSE ROTTO ERY
LINGUERE,KAMBE,THIANKHE,1,139.0,ECOLE ELEMENTAIRE
LINGUERE,KAMBE,THICOGNE,1,253.0,ECOLE THICOGNE
