DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,LINGUERE,ECOLE ABDOU MINGUE LECOR,1,580.0,CI A
LINGUERE,LINGUERE,ECOLE ABDOU MINGUE LECOR,2,579.0,CP A
LINGUERE,LINGUERE,ECOLE ABDOU MINGUE LECOR,3,578.0,CE1 A
LINGUERE,LINGUERE,ECOLE ABDOU MINGUE LECOR,4,577.0,C2 B
LINGUERE,LINGUERE,ECOLE ABDOU MINGUE LECOR,5,576.0,CM2 A
LINGUERE,LINGUERE,ECOLE ABDOU MINGUE LECOR,6,579.0,CM1 B
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,1,366.0,CI A
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,2,367.0,CP A
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,3,366.0,CP B
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,4,365.0,CE1 B
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,5,367.0,CE2 A
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,6,362.0,CM2 A
LINGUERE,LINGUERE,ECOLE DAOUDA DIA,7,366.0,CM2 C
LINGUERE,LINGUERE,ECOLE LINGUERE 7,1,437.0,SALLE 1
LINGUERE,LINGUERE,ECOLE LINGUERE 7,2,437.0,SALLE 2
LINGUERE,LINGUERE,ECOLE LINGUERE 7,3,436.0,SALLE 3
LINGUERE,LINGUERE,ECOLE LINGUERE 7,4,436.0,SALLE 4
LINGUERE,LINGUERE,ECOLE LINGUERE DIAMBOR,1,548.0,C2 A
LINGUERE,LINGUERE,ECOLE LINGUERE DIAMBOR,2,536.0,CM1 A
LINGUERE,LINGUERE,ECOLE LINGUERE DIAMBOR,3,244.0,CE1 A
LINGUERE,LINGUERE,LYCEE ALBOURY NDIAYE,1,542.0,SALLE 11
LINGUERE,LINGUERE,LYCEE ALBOURY NDIAYE,2,553.0,SALLE 13
LINGUERE,LINGUERE,LYCEE ALBOURY NDIAYE,3,544.0,SALLE 1
LINGUERE,LINGUERE,LYCEE ALBOURY NDIAYE,4,546.0,SALLE 25
LINGUERE,LINGUERE,LYCEE ALBOURY NDIAYE,5,480.0,SALLE 23
LINGUERE,LINGUERE,LYCEE ALBOURY NDIAYE,6,480.0,SALLE 17
