DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,MBOULA,BOBARAL,1,255,ABRI PROVISOIRE
LINGUERE,MBOULA,FEDIOBE,1,137,ECOLE FEDIOBE
LINGUERE,MBOULA,KILIF DECK 1,1,348,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,KILIF SENENE,1,221,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,KODIALAL 2,1,407,ECOLE KODIALAL 2
LINGUERE,MBOULA,KOYLI ALPHA,1,476,ECOLE KOYLI ALPHA
LINGUERE,MBOULA,KOYLI ALPHA,2,208,ECOLE KOYLI ALPHA
LINGUERE,MBOULA,LOUMBY ARABOBE,1,184,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,MBANDE,1,181,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,MBAYE AWA,1,448,ECOLE MBAYE AWA
LINGUERE,MBOULA,MBAYE AWA,2,445,FOYER DES JEUNES MBAYE AWA
LINGUERE,MBOULA,MBELOGNE BOULBY,1,326,ABRI PROVISOIRE
LINGUERE,MBOULA,MBEYENE OUOLOF,1,291,ECOLE MBEYENE OUOLOF
LINGUERE,MBOULA,MBOULA,1,434,ECOLE MBOULA
LINGUERE,MBOULA,MBOULA,2,431,ECOLE MBOULA SALLE CLASSE
LINGUERE,MBOULA,MBOYNANE,1,409,ECOLE MBOYNANE
LINGUERE,MBOULA,NEGUE OUOLOF,1,315,ECOLE NEGUE OUOLOF
