DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,OUARKHOKH,BALEL CISSE,1,383.0,CLASSE CM1
LINGUERE,OUARKHOKH,DAROU SALAM LOUMBY,1,295.0,CLASSE CI
LINGUERE,OUARKHOKH,DIAKHAYE PEULH,1,329.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,DICK LESS,1,118.0,SALLE ECOLE ELEMENTAIRE
LINGUERE,OUARKHOKH,ECOLE DOUNDODJI,1,390.0,CLASSE CM1
LINGUERE,OUARKHOKH,ECOLE DOUNDODJI,2,389.0,CLASSE CM2
LINGUERE,OUARKHOKH,ECOLE THIEBE,1,377.0,CLASSE C2
LINGUERE,OUARKHOKH,GOREE THIONGUE 1,1,312.0,CLASSE CI
LINGUERE,OUARKHOKH,GOREE WALY 1,1,342.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,GUENENE,1,243.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,KILIM,1,80.0,ECOLE FRANCO-ABARE
LINGUERE,OUARKHOKH,LOUMBY FORAGE 1,1,192.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,MBADIENE,1,146.0,CLASSE CM2
LINGUERE,OUARKHOKH,MEDINA DIALY,1,259.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,NDADANE,1,170.0,CLASSE CI
LINGUERE,OUARKHOKH,NDAR NDECK 2,1,159.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,NGARAFFE,1,400.0,CLASSE CI
LINGUERE,OUARKHOKH,NGUITH,1,546.0,CLASSE C2
LINGUERE,OUARKHOKH,NGUITH,2,546.0,CLASSE CM1
LINGUERE,OUARKHOKH,NIOUKOUL KAW,1,236.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,OUARKHOKH,1,557.0,CLASSE CM1
LINGUERE,OUARKHOKH,OUARKHOKH,2,562.0,CLASSECM2
LINGUERE,OUARKHOKH,OUARKHOKH,3,154.0,ECOLE SALLE DE CLASSE
LINGUERE,OUARKHOKH,PITEL,1,275.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,SOMME DANDE,1,171.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,TALLY 1,1,569.0,CLASSE CM2
LINGUERE,OUARKHOKH,TALLY 1,2,33.0,ECOLE ELEMENTAIRE
LINGUERE,OUARKHOKH,THIEBE COLY,1,165.0,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,THILLA OUARKHOKH,1,556.0,CLASSE CM1
LINGUERE,OUARKHOKH,THILLA OUARKHOKH,2,64.0,ECOLE ELEMENTAIRE
LINGUERE,OUARKHOKH,THIOMBE,1,123.0,ABRI PROVISOIRE
