DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,SAGATTA DJOLOF,DAGA BARRY,1,290,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,DIOUBAL NAMASS,1,238,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,DONGHO,1,236,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,1,550,CE1
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,2,548,CM1
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,3,543,CM2
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,4,304,CI
LINGUERE,SAGATTA DJOLOF,GANG OUOLOF,1,357,ECOLE CP
LINGUERE,SAGATTA DJOLOF,KHATALY,1,405,ECOLE CE1
LINGUERE,SAGATTA DJOLOF,MADENE,1,414,SALLE ECOLE ELEMENTAIRE
LINGUERE,SAGATTA DJOLOF,MADENE,2,50,ECOLE ELEMENTAIRE SALLE 2
LINGUERE,SAGATTA DJOLOF,MBACKE DJOLOFF,1,503,ECOLE CM1
LINGUERE,SAGATTA DJOLOF,NDIAYENE SAPENDA,1,344,ECOLE CP
LINGUERE,SAGATTA DJOLOF,NDRAME,1,271,ECOLE CLASSE CP
LINGUERE,SAGATTA DJOLOF,NGASSAMA PANAL,1,379,ECOLE ELEMENTAIRE CE1
LINGUERE,SAGATTA DJOLOF,SINE,1,394,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,SINE,2,393,ABRI PROVISOIRE
