DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,THIAMENE PASSE,DAROU SALAME MELAKH,1,352,ECOLE CLASSE CI / CP
LINGUERE,THIAMENE PASSE,DAROU SALAM MAURE,1,459,ECOLE CP
LINGUERE,THIAMENE PASSE,DECK VOTT,1,436,ECOLE CLASSE CM1
LINGUERE,THIAMENE PASSE,DENDIELY NAMASSE,1,331,ECOLE CLASSE CM2
LINGUERE,THIAMENE PASSE,DIERY BIRANE,1,213,ECOLE CLASSE CP
LINGUERE,THIAMENE PASSE,FASS ABDOUL AZIZ,1,183,ABRI PROVISOIRE
LINGUERE,THIAMENE PASSE,GABOUGAL,1,166,ECOLE CLASSE CE1
LINGUERE,THIAMENE PASSE,GOUILLE TEUDE,1,175,ECOLE ELEMENTAIRE
LINGUERE,THIAMENE PASSE,GUELY,1,243,ECOLE CLASSE CM1 / CM2
LINGUERE,THIAMENE PASSE,LOUMBAL OUOLOF,1,508,ECOLE CLASSE CE1
LINGUERE,THIAMENE PASSE,MBACKE BARRY,1,353,ECOLE CLASSE CE2
LINGUERE,THIAMENE PASSE,MBOUSSOBE OUOLOF,1,181,ECOLE CLASSE CM1
LINGUERE,THIAMENE PASSE,MELAKHE,1,507,ECOLE CLASSE CP
LINGUERE,THIAMENE PASSE,MELAKHE,2,506,ECOLE CLASSE CP
LINGUERE,THIAMENE PASSE,MELAKHE,3,506,ECOLE CLASSE CI
LINGUERE,THIAMENE PASSE,NDIAMA CONCESSION,1,120,ECOLE CLASSE CM2
LINGUERE,THIAMENE PASSE,NDIAMBOR,1,129,ECOLE CLASSE CM1
LINGUERE,THIAMENE PASSE,NDIOSSY OUOLOF,1,457,ECOLE CLASSE CE1 / CE2
LINGUERE,THIAMENE PASSE,NIANDOUL,1,298,ECOLE CLASSE CI
LINGUERE,THIAMENE PASSE,PASSE,1,540,ECOLE CLASSE CP
LINGUERE,THIAMENE PASSE,THIAMENE ECOLE,1,549,ECOLE CLASSE CI
LINGUERE,THIAMENE PASSE,THIAMENE ECOLE,2,547,ECOLE CLASSE CP
LINGUERE,THIAMENE PASSE,THIAMENE ECOLE,3,321,ECOLE CLASSE CE1
