DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,THIARGNY,KHOGUE,1,424,CLASSE CM2
LINGUERE,THIARGNY,KODJOLE,1,127,CLASSE CI
LINGUERE,THIARGNY,LINDE,1,304,CLASSE CM2
LINGUERE,THIARGNY,LINDE,2,304,CLASSE CE2
LINGUERE,THIARGNY,LINDE MOURIDE,1,185,ABRI PROVISOIRE
LINGUERE,THIARGNY,LOL LOL,1,491,CLASSE CI
LINGUERE,THIARGNY,NGUELWAR GUELY,1,144,ECOLE CLASSE CI
LINGUERE,THIARGNY,NIERY,1,311,CLASSE CI
LINGUERE,THIARGNY,THIARGNY,1,504,CLASSE CI
LINGUERE,THIARGNY,THIARGNY,2,504,CLASSE CE2
LINGUERE,THIARGNY,THIARGNY,3,503,CLASSE CM1
LINGUERE,THIARGNY,THIOMBY GOUYE GUENE,1,142,ECOLE ELEMENTAIRE THIOMBY
LINGUERE,THIARGNY,TOUBA BELEL LINDE,1,144,CASE DE SANTE
LINGUERE,THIARGNY,VENDOU SENO 1,1,420,CLASSE CI
LINGUERE,THIARGNY,WIS WIS,1,166,ABRI PROVISOIRE
