DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,YANG YANG,KADD PEULH,1,167,SALLE DE CLASSE
LINGUERE,YANG YANG,KALOSSY OUOLOF,1,244,ECOLE KALOSSY OUOLOF
LINGUERE,YANG YANG,MEVELLE OUOLOF,1,245,ECOLE MEVELLE OUOLOF
LINGUERE,YANG YANG,MEWELLE PEULH,1,412,ECOLE MEVELLE PEULPH
LINGUERE,YANG YANG,NDALLA AYRANCOBE,1,146,ECOLE ELEMENTAIRE
LINGUERE,YANG YANG,NDIANE,1,188,ECOLE NDIANE
LINGUERE,YANG YANG,NDIAYENE SABOUR 1,1,285,CASE SANTE NDIAYENE SABOUR  1
LINGUERE,YANG YANG,NDOGANTOU PEULH,1,104,SALLE ECOLE ELEMENTAIRE
LINGUERE,YANG YANG,NGOUILLE DIERY,1,410,ECOLE NGOUILLE DIERY
LINGUERE,YANG YANG,NGUER VENDOU DIABY,1,298,ECOLE NGUER VENDOU DIABY
LINGUERE,YANG YANG,TONGUE,1,455,SALLE ECOLE ELEMENTAIRE
LINGUERE,YANG YANG,YANG YANG,1,255,ECOLE YANG YANG
LINGUERE,YANG YANG,YANG YANG,2,254,CLASSE CM 2
