REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,1,559,ECOLE CLASSE CP
LOUGA,KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,2,559,ECOLE CLASSE CI
LOUGA,KEBEMER,BANDEGNE OUOLOF,DARA KHARA,1,296,ECOLE CLASSE CE2 A
LOUGA,KEBEMER,BANDEGNE OUOLOF,DIALGANE KANE,1,140,ECOLE CLASSE CE1 A
LOUGA,KEBEMER,BANDEGNE OUOLOF,GUEDJI SECK,1,164,ECOLE CLASSE CI
LOUGA,KEBEMER,BANDEGNE OUOLOF,MBADIAR,1,578,ECOLE CLASSE CP
LOUGA,KEBEMER,BANDEGNE OUOLOF,MBENGUENE OUOLOF,1,318,ABRI PROVISOIRE
LOUGA,KEBEMER,BANDEGNE OUOLOF,NDANGOUR NDIAYE,1,234,ECOLE CLASSE CI
LOUGA,KEBEMER,BANDEGNE OUOLOF,NDIEYE SEFOUR,1,392,ECOLE CLASSE CE 2
LOUGA,KEBEMER,BANDEGNE OUOLOF,NDOB DAROU MESSERE,1,496,ECOLE CLASSE CP
LOUGA,KEBEMER,BANDEGNE OUOLOF,NGARAF OUOLOF,1,589,ECOLE CLASSE CI
LOUGA,KEBEMER,BANDEGNE OUOLOF,PARBA DIENG,1,552,ECOLE CLASSE CE2 A
LOUGA,KEBEMER,BANDEGNE OUOLOF,PEKH TALL,1,370,ECOLE CLASSE CM 2
LOUGA,KEBEMER,BANDEGNE OUOLOF,PEKH TALL,2,368,ECOLE CLASSE CI
LOUGA,KEBEMER,BANDEGNE OUOLOF,SANTHIOU DIOCKOUL,1,123,ECOLE CLASSE CP
LOUGA,KEBEMER,BANDEGNE OUOLOF,SIVOL PEULH,1,574,ECOLE CLASSE CE 1
LOUGA,KEBEMER,BANDEGNE OUOLOF,TAYBA NDIOUGA,1,222,CLASSE CI
LOUGA,KEBEMER,BANDEGNE OUOLOF,THIARI LORO,1,196,ECOLE CLASSE CE 1
LOUGA,KEBEMER,DAROU MARNANE,BAYTI MBARI BEYE,1,236,ABRI PROVISOIRE
LOUGA,KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,1,583,CLASSE CM2
LOUGA,KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,2,580,CLASSE CM1
LOUGA,KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,3,578,CLASSE CE2
LOUGA,KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,4,578,SALLE DE CLASSE
LOUGA,KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,5,181,CLASSE CE1
LOUGA,KEBEMER,DAROU MARNANE,DAROU MARNANE HOTEL COMMUNAUTA,1,154,SALLE DELIBERATION
LOUGA,KEBEMER,DAROU MARNANE,DEKHEULE,1,168,POSTE DE SANTE
LOUGA,KEBEMER,DAROU MARNANE,FASS TOURE,1,563,POSTE DE SANTE
LOUGA,KEBEMER,DAROU MARNANE,KEUR MATAR BINTA OUOLOF,1,201,CASE DE SANTE
LOUGA,KEBEMER,DAROU MARNANE,KOCKI KADE,1,241,ECOLE CLASSE CM2
LOUGA,KEBEMER,DAROU MARNANE,NDIMBOLOGNE,1,292,CASE DE SANTE
LOUGA,KEBEMER,DAROU MARNANE,TOUBA ROFF,1,293,CLASSE CI
LOUGA,KEBEMER,DAROU MOUSTI,ARAFAAT,1,541,CLASSE CP
LOUGA,KEBEMER,DAROU MOUSTI,BEUBEUNE 1,1,121,ABRI PROVISOIRE
LOUGA,KEBEMER,DAROU MOUSTI,BOULEL SECK,1,337,CLASSE CE1
LOUGA,KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,1,524,SALLE 2
LOUGA,KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,2,522,SALLE 4
LOUGA,KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,3,523,SALLE 6
LOUGA,KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,4,523,SALLE 7
LOUGA,KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,5,521,SALLE 9
LOUGA,KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,6,523,SALLE 11
LOUGA,KEBEMER,DAROU MOUSTI,DAROU DIOP,1,422,ECOLE CLASSE CE2
LOUGA,KEBEMER,DAROU MOUSTI,DAROU KRATIEL,1,266,CLASSE CI
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,1,506,CLASSE CM1
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,2,506,CLASSE CM2
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,3,503,SALLE CE 1
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,1,457,CLASSE CE1A
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,2,456,CLASSE CE1B
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,3,457,CLASSE CE2A
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,4,458,CLASSE CE2B
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,1,496,CLASSE CI
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,2,496,CLASSE CP
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,3,495,CLASSE CE1
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,4,499,CLASSE CE2
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,5,495,CLASSE CM1A
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,6,498,CLASSE CM1B
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,7,492,CLASSE CM2A
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,8,494,CLASSE CM1 B
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,1,506,ECOLE DE NGOMENE CI A
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,2,506,ECOLE DE NGOMENE CI B
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,3,507,ECOLE DE NGOMENE CP
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,4,505,ECOLE DE NGOMENE CE1
LOUGA,KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,5,505,ECOLE NGOMENE CP
LOUGA,KEBEMER,DAROU MOUSTI,DAROU RAHMANE 1,1,528,CLASSE CE1
LOUGA,KEBEMER,DAROU MOUSTI,DAROU RAHMANE 1,2,54,CLASSE CP
LOUGA,KEBEMER,DAROU MOUSTI,DIVANE,1,356,CASE DE SANTE
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,1,552,CLASSE CM2
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,2,549,CLASSE CM1
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,3,548,CLASSE CE2
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,4,552,CLASSE CI
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,1,550,CLASSE CE1
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,2,545,CLASSE CE2
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,3,550,CLASSE CM1
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,4,553,CLASSE CM2
LOUGA,KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,5,309,CLASSE CI
LOUGA,KEBEMER,DAROU MOUSTI,NDANGOU OUOLOF,1,359,CASE DE SANTE
LOUGA,KEBEMER,DAROU MOUSTI,SARSARA,1,332,CLASSE CE1
LOUGA,KEBEMER,DAROU MOUSTI,SARSARA,2,331,CLASSE CE2
LOUGA,KEBEMER,DAROU MOUSTI,THIABOUGUEL,1,342,ECOLE
LOUGA,KEBEMER,DAROU MOUSTI,TOUBA PETEGNE,1,390,ABRI PROVISOIRE
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,BADAR DIOP,1,421,ECOLE CLASSE CE 1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DARA ANDAL,1,568,ECOLE CLASSE CP
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DARA ANDAL,2,83,CLASSE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DAROU KEBE,1,150,ABRI PAOVISOIRE
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,1,572,ECOLE CLASSE CE 2
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,2,564,ECOLE CLASSE CM 2
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,3,572,SALLE CM 1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,4,165,SALLE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,DJIGNAKH,1,342,ECOLE DJIGNACKH CLASSE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,GADE BRAMA,1,430,ECOLE CLASSE CE 2
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,GADE KEBE,1,400,ECOLE CLASSE CP
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,GADE KEBE,2,239,ECOLE CLASSE CE1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,KANENE KANE,1,410,ECOLE KANENE KANE CLASSE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,1,512,ECOLE CLASSE CE 1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,2,191,ECOLE CLASSE CI
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,MAKA LY,1,270,ECOLE ARABE SALLE 01
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,NDIAVAGNE FALL,1,229,ECOLE CLASSE CP
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,NGUER NGUER,1,386,ABRI PROVISOIRE
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,TAYBA AMARI MBERI,1,489,ABRI PROVISOIRE
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,THIENABA,1,470,ECOLE CLASSE CE 1
LOUGA,KEBEMER,DIOKOUL NDIAWRIGNE,TOUNDOU MALEYE,1,164,ABRI PROVISOIRE
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 1,1,588,CLASSE CE1A
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 1,2,586,CLASSE CM2A
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 2,1,558,CLASSE CM1
LOUGA,KEBEMER,GUEOUL,ECOLE GUEOUL 2,2,558,CLASSE CM2
