DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,GANDE,BADJI,1,525,ABRI PROVISOIRE
LOUGA,GANDE,BISSINABE GANDE,1,309,ECOLE CLASSE CP
LOUGA,GANDE,BISSINABE MBAYBE,1,319,ABRI PROVISOIRE
LOUGA,GANDE,BISSINABE RINDO,1,365,ABRI PROVISOIRE
LOUGA,GANDE,ECOLE ELEM. SIRINGUE NDONGO,1,328,SIRINGUE (ABRI PROVISOIRE)
LOUGA,GANDE,ECOLE ELEM. SIRINGUE NDONGO,2,327,ECOLE CLASSE CP
LOUGA,GANDE,ECOLE GANDE KAO,1,287,CLASSE CP
LOUGA,GANDE,GADE MBELOGNE,1,247,CLASSE CE1
LOUGA,GANDE,GALAYEL,1,272,ABRI PROVISOIRE
LOUGA,GANDE,GALAYEL FORAGE,1,590,ABRI PROVISOIRE
LOUGA,GANDE,GANDE,1,576,CLASSE CE1
LOUGA,GANDE,GANDE,2,576,CLASSE CM1
LOUGA,GANDE,GORBEL OUOLOF,1,579,ECOLE CLASSE CE2
LOUGA,GANDE,GORBEL OUOLOF,2,133,ECOLE CLASSE CM2
LOUGA,GANDE,KEUR BASSINE,1,513,CLASSE CM2
LOUGA,GANDE,MBAFAR,1,467,CLASSSE CE1
LOUGA,GANDE,NDIALAMBANE,1,185,ABRI PROVISOIRE
