DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,GUET ARDO,DEKHOLE 1,1,520.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,DEKHOLE 1,2,120.0,ECOLE PRIMAIRE
LOUGA,GUET ARDO,DIAMOY GAYE,1,282.0,ECOLE PRIMAIRE CLASSE CE2
LOUGA,GUET ARDO,DIAWAR SARR,1,266.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,DIONABE,1,271.0,ECOLE PRIMAIRE CLASSE CP
LOUGA,GUET ARDO,ECOLE PRIMAIRE THIAR PEULH,1,255.0,SALLE DE CLASSE
LOUGA,GUET ARDO,GARKI,1,286.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,GUET ARDO,1,575.0,ECOLE PRIMAIRE CLASSE CM2
LOUGA,GUET ARDO,GUET ARDO,2,575.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,NDIOBENE NDEM,1,359.0,ECOLE PRIMAIRE CLASSE CE 2
LOUGA,GUET ARDO,PATAR NAR,1,136.0,ECOLE PRIMAIRE CLASSE CM 2
LOUGA,GUET ARDO,THIALAGA NIANE,1,138.0,ECOLE PRIMAIRE
LOUGA,GUET ARDO,TOURE FALL,1,183.0,ECOLE PRIMAIRE CLASSE CE2
