DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KELLE GUEYE,BEUL GUEYE,1,229,CLASSE CE1
LOUGA,KELLE GUEYE,BEUL GUEYE,2,230,CLASSE CM 2
LOUGA,KELLE GUEYE,BOUSSOURA LO,1,284,CLASSE CM1
LOUGA,KELLE GUEYE,DARA NDIAKHOUR,1,361,CLASSE CI
LOUGA,KELLE GUEYE,DARA NDIAKHOUR,2,361,SALLE DE CLASSE
LOUGA,KELLE GUEYE,KALASSANE NDIAYE,1,181,CLASSE CE1 / CE2
LOUGA,KELLE GUEYE,KEL GUEYE,1,558,CLASSE CP
LOUGA,KELLE GUEYE,KEL GUEYE,2,559,CLASSE CM1
LOUGA,KELLE GUEYE,KEUR BOUMI NDIAYE,1,367,CASE DE SANTE
LOUGA,KELLE GUEYE,KEUR GUIRI ALLA,1,372,CLASSE CM1
LOUGA,KELLE GUEYE,KEUR MBALLO NDIAYE,1,351,MAGASIN
LOUGA,KELLE GUEYE,MBOUT MOUSSA,1,222,CLASSE CM1
LOUGA,KELLE GUEYE,NDAM NGOTT,1,450,CLASSE CE2
LOUGA,KELLE GUEYE,NDIARY DIOP,1,323,CLASSE CM1
LOUGA,KELLE GUEYE,NGANA SALL,1,435,CLASSE CP
LOUGA,KELLE GUEYE,NGUEYENE 1,1,314,CLASSE ALPHABETISATION
