DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KEUR MOMAR SARR,AYNOUMANE,1,233.0,CLASSE CE
LOUGA,KEUR MOMAR SARR,BADIENG,1,160.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,BRAR,1,258.0,CLASSE CM2
LOUGA,KEUR MOMAR SARR,DAKHAR KOBA,1,102.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIAMINAR KEUR KANE,1,356.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIASSARNABE ALI,1,221.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIASSARNABE ALI,2,221.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIOKOUL,1,233.0,CLASSE CE1
LOUGA,KEUR MOMAR SARR,ECOLE LOUMBOUL 2,1,246.0,SALLE DE CLASSE
LOUGA,KEUR MOMAR SARR,FETO,1,471.0,CLASSE CM1
LOUGA,KEUR MOMAR SARR,GANKET BALA,1,587.0,CLASSE CM2
LOUGA,KEUR MOMAR SARR,GANKET BALA,2,76.0,CLASSE CE2
LOUGA,KEUR MOMAR SARR,GANKET GUINTH,1,321.0,CLASSE CM1
LOUGA,KEUR MOMAR SARR,GUENE GOUDI 1,1,104.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,GUENE GOUDI 2,1,183.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,KEUR IBRA BINTA,1,425.0,CLASSE CP
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,1,536.0,CLASSE CM2
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,2,537.0,CLASSE CM1
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,3,535.0,CLASSE CE2
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,4,534.0,CLASSE CE1
LOUGA,KEUR MOMAR SARR,KEUR SAMBA THIAMA,1,389.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LATHIANTE,1,314.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LOBOUDOU,1,345.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LOBOUDOU,2,345.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LOMBI GUIDO,1,134.0,CASE DE SANTE
LOUGA,KEUR MOMAR SARR,MAKA PEULH,1,207.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,MAYEL,1,309.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,MBANAR KEUR YORO TACKO,1,260.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,MBARE BANT,1,155.0,CLASSE CM1
LOUGA,KEUR MOMAR SARR,MIDIO,1,207.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDIALBANABE MAKA,1,139.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDIAO BOUDI,1,165.0,CLASSE CP
LOUGA,KEUR MOMAR SARR,NDIBA,1,113.0,ECOLE ELEMENTAIRE CLASSE CM1 -CE1
LOUGA,KEUR MOMAR SARR,NDIMB,1,542.0,CLASSE CM2
LOUGA,KEUR MOMAR SARR,NDIMB,2,543.0,CLASSE CM1
LOUGA,KEUR MOMAR SARR,NDIMB,3,542.0,SALLE DE CLASSE
LOUGA,KEUR MOMAR SARR,NDIMB PEULH,1,375.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDOUR 1,1,289.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDOUR 2 ROBBO,1,225.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDOUR 2 TELLER,1,423.0,CLASSE CE1
LOUGA,KEUR MOMAR SARR,NDOUR LOBOUDOU,1,334.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NGONAKE,1,365.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,SAM KEBE,1,177.0,CLASSE CM1
LOUGA,KEUR MOMAR SARR,SAM KEBE,2,177.0,CLASSE CE1
LOUGA,KEUR MOMAR SARR,TEUD BITI,1,441.0,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,THIAPEDIA,1,406.0,ABRI PROVISOIRE
