DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KOKI,BELEL OUOLOF,1,410,ECOLE PRIMAIRE CLASSE CI
LOUGA,KOKI,BOFEL ALASSANE,1,359,ECOLE PRIMAIRE CLASSE CI
LOUGA,KOKI,DIADIORDE,1,403,ECOLE PRIMAIRE CLASSE CI
LOUGA,KOKI,DIADIORDE,2,404,ECOLE PRIMAIRE CLASSE CM1
LOUGA,KOKI,ECOLE BELEL PEULH,1,146,ECOLE PRIMAIRE
LOUGA,KOKI,ECOLE EDE,1,249,ECOLE PRIMAIRE
LOUGA,KOKI,ECOLE PALENE,1,264,ECOLE PRIMAIRE
LOUGA,KOKI,FADAM,1,415,ECOLE PRIMAIRE CLASSE CM2
LOUGA,KOKI,KANENE HALL,1,158,CLASSE CP
LOUGA,KOKI,KANENE KHAR,1,178,ECOLE FRANCO ARABE
LOUGA,KOKI,KEUR NGOURA,1,453,CLASSE D ALPHABETISATION
LOUGA,KOKI,KOKI,1,561,CEM SALLE 1
LOUGA,KOKI,KOKI,2,557,CEM SALLE 2
LOUGA,KOKI,KOKI,3,560,CEM SALLE 3
LOUGA,KOKI,KOKI,4,558,ECOLE 1 CLASSE CP 2
LOUGA,KOKI,KOKI,5,557,ECOLE 1CLASSE CM 1
LOUGA,KOKI,KOKI,6,557,ECOLE 1 CLASSE CE 1
LOUGA,KOKI,KOKI,7,551,ECOLE 1 CLASSE CM2
LOUGA,KOKI,MAISON CDV DADIALO,1,271,MAISON CDV DE DIADIALO
LOUGA,KOKI,NDALLA,1,322,ECOLE PRIMAIRE CLASSE CI
LOUGA,KOKI,NDIAKHAR,1,261,ECOLE PRIMAIRE CLASSE CE1
LOUGA,KOKI,NDIOBENE BELEL,1,345,CLASSE CP
LOUGA,KOKI,NDIOBENE KEUR MASSALL,1,161,SALLE ECOLE PRIMAIRE
LOUGA,KOKI,OUARACK 1,1,561,ECOLE PRIMAIRE CLASSE CM1
LOUGA,KOKI,OUARACK 1,2,157,ECOLE PRIMAIRE CM2
LOUGA,KOKI,OUARACK 2 SIEGE ASUFOR,1,262,SIEGE ASUFOR OUARACK
LOUGA,KOKI,SAMBA SADIO OUOLOFF,1,298,ECOLE PRIMAIRE CLASSE CM1
LOUGA,KOKI,SAMBA SADIO PEULH,1,306,ECOLE PRIMAIRE
LOUGA,KOKI,THIOUROUR,1,401,MAISON CDV
LOUGA,KOKI,VAKHI,1,512,CLASSE CE 1
