DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,LEONA,BAYTI GUEYE,1,409,CLASSE CP2
LOUGA,LEONA,BAYTI GUEYE,2,410,CLASSE CE1
LOUGA,LEONA,BEUT LAMINE,1,417,CLASSE CP
LOUGA,LEONA,BOUNDOU VOULA 1,1,145,ABRI PROVISOIRE
LOUGA,LEONA,DAO 2,1,310,ABRI PROVISOIRE
LOUGA,LEONA,GABANE OUOLOF,1,240,CLASSE CP
LOUGA,LEONA,GABANE PEULH 2,1,483,ABRI PROVISOIRE
LOUGA,LEONA,GABAR,1,591,CLASSE CM2
LOUGA,LEONA,GALOU DAMEL,1,381,CLASSE CE2
LOUGA,LEONA,GNAYAM,1,573,CLASSE CM1
LOUGA,LEONA,GNAYAM,2,41,CLASSE CE2
LOUGA,LEONA,KEUR KOURA,1,316,CLASSE CE1
LOUGA,LEONA,KEUR MANDIOL,1,206,ABRI PROVISOIRE
LOUGA,LEONA,LEONA,1,473,CLASSE CP
LOUGA,LEONA,LEONA,2,472,CLASSE CM2
LOUGA,LEONA,LEONA,3,473,CLASSE CE1
LOUGA,LEONA,MAKA TARE,1,479,ABRI PROVISOIRE
LOUGA,LEONA,MBAYE MBAYE MAPATHE,1,574,CLASSE CM1
LOUGA,LEONA,MBAYE MBAYE MAPATHE,2,99,ECOLE SALLE DE CLASSE
LOUGA,LEONA,MERINA SIMON,1,136,ABRI PROVISOIRE
LOUGA,LEONA,NDEMBA 2,1,372,ABRI PROVISOIRE
LOUGA,LEONA,NDIAMB FALL,1,465,CLASSE CE1
LOUGA,LEONA,NDIAYENE PEULH SALIF,1,353,ABRI PROVISOIRE
LOUGA,LEONA,NGOUFAT 1,1,425,ABRI PROVISOIRE
LOUGA,LEONA,POTOU 1,1,516,MAGASIN
LOUGA,LEONA,POTOU 1,2,515,MAGASIN
LOUGA,LEONA,SAGUE DJIBI YAGUE,1,387,CLASSE CM1
LOUGA,LEONA,SAGUE SATHIEL,1,487,CLASSE CE1
LOUGA,LEONA,SAGUE SATHIEL,2,126,CLASSE CE2
LOUGA,LEONA,SANTHIOU DJADJI,1,583,ABRI PROVISOIRE
LOUGA,LEONA,SIER PEULH,1,154,ABRI PROVISOIRE
LOUGA,LEONA,TARE,1,463,CLASSE CE1
LOUGA,LEONA,TARE,2,462,CLASSE CE2
LOUGA,LEONA,THIOVOR,1,536,CLASSE CP
LOUGA,LEONA,THIOVOR,2,536,CLASSE CE1
LOUGA,LEONA,VAKHALDIAM,1,183,ABRI PROVISOIRE
LOUGA,LEONA,VASSOUMASSAL,1,419,CLASSE CP
LOUGA,LEONA,VEKHE,1,320,ABRI PROVISOIRE
LOUGA,LEONA,YENGOUL MBOYO GUEDJI,1,402,ABRI PROVISOIRE
