DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,LOUGA,CEM MASSAMBA SIGA DIOUF,1,575.0,SALLE 1 - BATIMENT A
LOUGA,LOUGA,CEM MASSAMBA SIGA DIOUF,2,574.0,SALLES 2 - BATIMENT B
LOUGA,LOUGA,CEM MASSAMBA SIGA DIOUF,3,576.0,SALLE  3 - BATIMENT B
LOUGA,LOUGA,CEM MODOU AWA BALLA MBACKE,1,472.0,SALLE 1 - BATIMENT A
LOUGA,LOUGA,CEM MODOU AWA BALLA MBACKE,2,473.0,SALLE 2 - BATIMENT B
LOUGA,LOUGA,CEM MODOU AWA BALLA MBACKE,3,471.0,SALLE 3 - BATIMENT C
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,1,581.0,CLASSE - CM2 A
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,2,577.0,CLASSE - CM2 B
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,3,577.0,CLASSE - CM1
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,4,580.0,CLASSE - CE2
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,5,581.0,CLASSE - CE2 B
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,6,571.0,CLASSE CI A
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,7,569.0,CLASSE CI B
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,8,231.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,1,476.0,CLASSE - CM2A
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,2,475.0,CLASSE - CM2B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,3,474.0,CLASSE - CM2C
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,4,473.0,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,5,474.0,CLASSE - CM1 B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,6,473.0,CLASSE - CE2 B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,7,475.0,CLASSE - CP2 A
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,8,475.0,CLASSE CP2B
LOUGA,LOUGA,ECOLE DIEMENE,1,548.0,CLASSE - CM2
LOUGA,LOUGA,ECOLE DIEMENE,2,549.0,CLASSE - CE2
LOUGA,LOUGA,ECOLE DIEMENE,3,546.0,CLASSE CM1
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,1,526.0,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,2,530.0,CLASSE - CM2 B
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,3,529.0,CLASSE - CE1 B
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,4,530.0,CLASSE CE2 A
LOUGA,LOUGA,ECOLE GRAND LOUGA 2,1,539.0,CLASSE - CM2 B
LOUGA,LOUGA,ECOLE GRAND LOUGA 2,2,554.0,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE GRAND LOUGA 2,3,252.0,CLASSE CP 2
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,1,549.0,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,2,558.0,CLASSE - CM2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,3,555.0,CLASSE - CI B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,4,554.0,CLASSE CE1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,5,544.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,6,550.0,CLASSE CE2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,7,543.0,CLASSE CM2 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,1,440.0,CLASSE - CI A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,2,440.0,CLASSE - CP2 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,3,439.0,CLASSE - CP2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,4,440.0,CLASSE - CE1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,5,439.0,CLASE - CE1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,6,439.0,CLASSE - CE1 C
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,7,440.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,8,436.0,CLASSE CM1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,1,577.0,CLASSE CE1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,2,579.0,CLASSE CM2 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,3,577.0,CLASSE CM2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,4,578.0,CLASSE CP B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,5,579.0,CLASSE CP A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,6,581.0,CLASSE CM1 A
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,1,600.0,CLASSE 2ND B
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,2,599.0,CLASSE CE1 B
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,3,598.0,CLASSE CE1 A
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,4,598.0,CLASSE CE2 A
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,5,599.0,CLASSE CP FRANCO
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,6,598.0,CLASSE CI A FRANCO
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,7,599.0,PETITE SECTION
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,8,599.0,GRANDE SECTION
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,9,599.0,CLASSE MOYENNE SECTION
LOUGA,LOUGA,ECOLE MARBATH,1,568.0,CLASSE CM2 A
LOUGA,LOUGA,ECOLE MARBATH,2,565.0,CLASSE CM2 B
LOUGA,LOUGA,ECOLE MARBATH,3,573.0,CLASSE CM2 C
LOUGA,LOUGA,ECOLE MARBATH,4,568.0,CLASSE CM1 A
LOUGA,LOUGA,ECOLE MARBATH,5,572.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE MARBATH,6,560.0,CLASSE CE1
LOUGA,LOUGA,ECOLE MARBATH,7,564.0,CLASSE CP2
LOUGA,LOUGA,ECOLE MARBATH,8,261.0,CLASSE CP5
LOUGA,LOUGA,ECOLE NDIANG FALL,1,240.0,CLASSE CE1
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,1,491.0,CLASSE CM2 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,2,488.0,CLASSE CM2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,3,487.0,CLASSE CE1 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,4,486.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,5,487.0,CLASSE CM1 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,6,488.0,CLASSE CE2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,7,491.0,CLASSE CE2 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,8,487.0,CLASSE CI1A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,9,487.0,CLASSE CP2 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,10,484.0,CLASSE CI2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,11,490.0,CLASSE CP2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,12,491.0,CLASSE CM2 C
LOUGA,LOUGA,ECOLE REGIONALE 1,1,598.0,CLASSE CM2
LOUGA,LOUGA,ECOLE REGIONALE 1,2,597.0,CLASSE CM1 A
LOUGA,LOUGA,ECOLE REGIONALE 1,3,599.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE REGIONALE 1,4,598.0,CLASSE CI
LOUGA,LOUGA,ECOLE REGIONALE 1,5,599.0,CLASSE CI A
LOUGA,LOUGA,ECOLE SANTHIABA,1,581.0,CLASSE CE1 A
LOUGA,LOUGA,ECOLE SANTHIABA,2,586.0,CLASSE CE2 A
LOUGA,LOUGA,ECOLE SANTHIABA,3,579.0,CLASSE CM1 B
LOUGA,LOUGA,ECOLE SANTHIABA,4,576.0,CLASSE CI 1 B
LOUGA,LOUGA,ECOLE SANTHIABA,5,580.0,CLASSE CE1 B
LOUGA,LOUGA,ECOLE SANTHIABA,6,584.0,CLASSE CM2 A
LOUGA,LOUGA,ECOLE SANTHIABA,7,569.0,CLASSE CE2 B
LOUGA,LOUGA,ECOLE SANTHIABA,8,564.0,CLASSE CP A
LOUGA,LOUGA,ECOLE SANTHIABA,9,213.0,CLASSE CPB
LOUGA,LOUGA,ECOLE SIMON BOLIVAR,1,465.0,CLASSE CE2 A
LOUGA,LOUGA,ECOLE THIOKHNA 1,1,452.0,CLASSE CM2 A
LOUGA,LOUGA,ECOLE THIOKHNA 1,2,450.0,CLASSE CM2 B
LOUGA,LOUGA,ECOLE THIOKHNA 1,3,451.0,CLASSE CI 1 A
LOUGA,LOUGA,ECOLE THIOKHNA 1,4,452.0,CLASSE CP2 B
LOUGA,LOUGA,ECOLE THIOKHNA 1,5,449.0,CLASSE CE2 B
LOUGA,LOUGA,FRANCO ARABE NDIANG BAME MBODJI,1,422.0,CLASSE CE2 A
LOUGA,LOUGA,FRANCO ARABE NDIANG BAME MBODJI,2,423.0,CLASSE CM1 A
LOUGA,LOUGA,FRANCO ARABE NDIANG BAME MBODJI,3,424.0,CLASSE CI A
LOUGA,LOUGA,SERVICE REGIONAL DES TP,1,491.0,ECOLE KEUR .S. BARA SALLE DE CLASSE
LOUGA,LOUGA,SERVICE REGIONAL DES TP,2,492.0,ECOLE KEUR .S. BARA SALLE DE CLASSE
LOUGA,LOUGA,SERVICE REGIONAL DES TP,3,490.0,ECOLE KEUR .S. BARA SALLE DE CLASSE
LOUGA,LOUGA,VILLAGE S O S,1,575.0,CLASSE CM2 A
LOUGA,LOUGA,VILLAGE S O S,2,581.0,CLASSE CP2 B
LOUGA,LOUGA,VILLAGE S O S,3,575.0,CLASSE CE2 B
LOUGA,LOUGA,VILLAGE S O S,4,185.0,SALLE DE CLASSE
