DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,MBEDIENE,BARIDIAM CISSE,1,369,CASE SANTE
LOUGA,MBEDIENE,DAROU NDIAYE,1,245,ABRI PROVISOIRE
LOUGA,MBEDIENE,DEUIL SEUMB,1,370,CLASSE CI
LOUGA,MBEDIENE,DIADJI NDIAYE,1,208,CASE SANTE
LOUGA,MBEDIENE,KEUR SACOKI,1,183,CASE DE SANTE
LOUGA,MBEDIENE,KEUR SOULEYE LO,1,206,CASE DE SANTE
LOUGA,MBEDIENE,KHANDA NDIOBENE,1,186,CLASSE ARABE
LOUGA,MBEDIENE,MBEDIENE,1,569,CLASSE CI
LOUGA,MBEDIENE,NDAVENE ALE,1,541,CLASSE CE1
LOUGA,MBEDIENE,NDAVENE DETHIALAO,1,377,CLASSE CE1
LOUGA,MBEDIENE,NDIEKINANE OUOLOF,1,193,ABRI
LOUGA,MBEDIENE,PAAR CISSE,1,432,CASE SANTE
LOUGA,MBEDIENE,PAL KHELI,1,240,CLASSE CP
LOUGA,MBEDIENE,PALLENE BALLA FALL,1,219,ABRI
LOUGA,MBEDIENE,SINE DIENG,1,359,MAGASIN
LOUGA,MBEDIENE,THIECKENE PEULH,1,238,CLASSE CE1
LOUGA,MBEDIENE,YABTIL DIOP,1,535,CASE DE SANTE
