DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,NDIAGNE,NDIAGNE,1,567,ECOLE PRIMAIRE THIABOUGUEL SALLE 1
LOUGA,NDIAGNE,NDIAGNE,2,565,ECOLE PRIMAIRE THIABOUGUEL SALLE 2
LOUGA,NDIAGNE,NDIAGNE,3,565,ECOLE PRIMAIRE CLASSE CE2 A
LOUGA,NDIAGNE,NDIAGNE,4,563,ECOLE PRIMAIRE CLASSE CM 2 A
LOUGA,NDIAGNE,NDIAGNE,5,556,ECOLE PRIMAIRE CLASSE CM 1 A
LOUGA,NDIAGNE,NDIAGNE,6,572,ECOLE PRIMAIRE CE 1 A
LOUGA,NDIAGNE,NDIAGNE,7,563,ECOLE PRIMAIRE CLASSE CE1 B
LOUGA,NDIAGNE,NDIAGNE,8,419,ECOLE SALLE DE CLASSE
LOUGA,NDIAGNE,NDIAGNE 2,1,142,ECOLE P  NDIAGNE 2 CLASSE CM1A
LOUGA,NDIAGNE,THIALENE 1,1,170,ECOLE PRIMAIRE CLASSE CE2
