DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,NGUER MALAL,BELEL KELLY 2,1,203,ABRI PROVISOIRE
LOUGA,NGUER MALAL,BOKI ILO,1,176,ABRI PROVISOIRE
LOUGA,NGUER MALAL,BOUDI SAKHO,1,456,CLASSE CM2
LOUGA,NGUER MALAL,BOUDI SAKHO,2,458,CLASSE CM1
LOUGA,NGUER MALAL,BOUDI THIEKENE,1,212,CLASSE CM2
LOUGA,NGUER MALAL,BOYO 1,1,404,CLASSE CE1
LOUGA,NGUER MALAL,DAROU NOUROU CODIOLEL,1,254,ABRI PROVISOIRE
LOUGA,NGUER MALAL,DEPAL MBAYE,1,278,ABRI PROVISOIRE
LOUGA,NGUER MALAL,DEPAL MBAYE,2,277,ABRI PROVISOIRE
LOUGA,NGUER MALAL,DIATMEL KEUR NGATAM,1,343,ABRI PROVISOIRE
LOUGA,NGUER MALAL,GARANGUEL PEULH,1,363,ABRI PROVISOIRE
LOUGA,NGUER MALAL,GOUY MBEUT,1,552,CLASSE CM2
LOUGA,NGUER MALAL,GOUY MBEUT,2,552,CLASSE CM1
LOUGA,NGUER MALAL,GOUY MBEUT,3,119,ECOLE GOUYE MBEUTH CLASSE CMP
LOUGA,NGUER MALAL,KEUR BALLA SEYE,1,478,CLASSE CM2
LOUGA,NGUER MALAL,KEUR BALLA SEYE,2,475,CE2 ECOLE ELEMENTAIRE
LOUGA,NGUER MALAL,KEUR MADIALE,1,572,CLASSE CM1
LOUGA,NGUER MALAL,KEUR MADIALE,2,37,ECOLE ELEMENTAIRE KEUR MADIALE CM2
LOUGA,NGUER MALAL,MBELOGNE,1,375,CLASSE CM1
LOUGA,NGUER MALAL,MBELOGNE,2,374,CLASSE CM2
LOUGA,NGUER MALAL,NAYOBE,1,562,CLASSE CE2 A
LOUGA,NGUER MALAL,NAYOBE,2,557,CLASSE CM1
LOUGA,NGUER MALAL,NAYOBE,3,216,CLASSE CP B
LOUGA,NGUER MALAL,NDALARLOU GAYE,1,279,ABRI PROVISOIRE
LOUGA,NGUER MALAL,NGADIALAM MAYORO,1,228,ABRI PROVISOIRE
LOUGA,NGUER MALAL,NGUER MALAL,1,525,CLASSE CM2
LOUGA,NGUER MALAL,NGUER MALAL,2,527,CLASSE CM1
LOUGA,NGUER MALAL,NGUER MALAL,3,524,SALLE DE CLASSE
LOUGA,NGUER MALAL,PATHE POULLO,1,277,ABRI PROVISOIRE
LOUGA,NGUER MALAL,PETHIADJI,1,300,ABRI PROVISOIRE
LOUGA,NGUER MALAL,THIOUMADE 2,1,197,ABRI PROVISOIRE
LOUGA,NGUER MALAL,YARAL FALL,1,296,CLASSE CE2
LOUGA,NGUER MALAL,YARI DAKHAR,1,337,CLASSE CE1
LOUGA,NGUER MALAL,YERAL SOW,1,407,ABRI PROVISOIRE
LOUGA,NGUER MALAL,YERAL THIAM,1,538,ABRI PROVISOIRE
