DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,NGUIDILE,DAGATHIE SAR,1,354.0,MAGASIN
LOUGA,NGUIDILE,DAGATHIE SAR,2,354.0,CLASSE CE1
LOUGA,NGUIDILE,DIELERLOU SYLL,1,594.0,CLASSE CE1 A
LOUGA,NGUIDILE,DIELERLOU SYLL,2,593.0,CLASSE CE2
LOUGA,NGUIDILE,ECOLE ELEMENTAIRE BADEM NIANE,1,259.0,CLASSE CP
LOUGA,NGUIDILE,ECOLE ELEMENTAIRE MBAROM DIOP,1,340.0,SALLE DE CLASSE
LOUGA,NGUIDILE,ECOLE ELEMENTAIRE NDJIMBI SECK,1,404.0,CLASSE CM1
LOUGA,NGUIDILE,ECOLE ELEMENTAIRE NIAKHAL PEULH,1,246.0,CLASSE CP
LOUGA,NGUIDILE,ECOLE NDAM KEUR MODOU FATMA,1,552.0,SALLE DE CLASSE
LOUGA,NGUIDILE,ECOLE NDAM KEUR MODOU FATMA,2,77.0,SALLE DE CLASSE 2
LOUGA,NGUIDILE,KEBE NDEUKTA,1,591.0,CLASSE CI
LOUGA,NGUIDILE,KEBE NDEUKTA 2,1,78.0,CLASSE CE2
LOUGA,NGUIDILE,KEUR AMADOU KHARY MBOUP,1,369.0,CLASSE CI
LOUGA,NGUIDILE,KEUR MAYP GUEYE,1,130.0,CLASSE CI
LOUGA,NGUIDILE,KEUR MAYP GUEYE,2,129.0,SALLE DE CLASSE
LOUGA,NGUIDILE,KEUR MBARICK,1,412.0,CLASSE CM2
LOUGA,NGUIDILE,KEUR SAER GUEYE,1,304.0,CLASSE CM1
LOUGA,NGUIDILE,MAKA BRAGUEYE 1,1,589.0,CLASSE CP
LOUGA,NGUIDILE,MAKA BRAGUEYE 2,1,219.0,MAGASIN
LOUGA,NGUIDILE,NDAM KEUR MODOU KHARI,1,505.0,CLASSE CI
LOUGA,NGUIDILE,NDIAGNE MEDOUNE,1,205.0,SALLE ECOLE ARABE
LOUGA,NGUIDILE,NDIANG FALL,1,397.0,CLASSE CE1
LOUGA,NGUIDILE,NDIOMENE SAMB,1,374.0,CLASSE CM2
LOUGA,NGUIDILE,NGUIDILE,1,563.0,CLASSE CM1A
LOUGA,NGUIDILE,NGUIDILE,2,555.0,CLASSE CM1 BILINGUE
LOUGA,NGUIDILE,NGUIDILE,3,512.0,CLASSE CE1 A
LOUGA,NGUIDILE,NGUIDILE,4,162.0,ECOLE SALLE DE CLASSE
LOUGA,NGUIDILE,NIEM CISSE,1,391.0,CLASSE CM2
LOUGA,NGUIDILE,OULINGARA TALL,1,235.0,CLASSE CI
LOUGA,NGUIDILE,OULINGARA TALL,2,235.0,CLASSE CM1
LOUGA,NGUIDILE,OULINGARA TALL 2,1,105.0,CLASSE CP
LOUGA,NGUIDILE,RITTE DIAO,1,574.0,CLASSE CM2
LOUGA,NGUIDILE,RITTE DIAO,2,97.0,CLASSE CE1
