DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,NIOMRE,DIAKHASLENE KEBE,1,216,CLASSE CE1
LOUGA,NIOMRE,ECOLE DE KEUR MOR ANTA AYIP,1,184,CLASSE CI
LOUGA,NIOMRE,ECOLE ELEMENTAIRE TIOUBENE,1,132,CLASSE CE2
LOUGA,NIOMRE,KEUR CODE ALASSANE,1,244,CLASSE ARABE
LOUGA,NIOMRE,KEUR DAM,1,170,CLASSE CI
LOUGA,NIOMRE,KEUR IBRA MARAM,1,384,CLASSE CE2
LOUGA,NIOMRE,NDAM KHAB,1,368,ABRI
LOUGA,NIOMRE,NDIA GOUREY,1,352,CLASSE CM1
LOUGA,NIOMRE,NDIA GOUREY,2,352,CE1 ECOLE ELEMENTAIRE
LOUGA,NIOMRE,NDIAKHATE NDIEYRI,1,233,CLASSE VACANTE
LOUGA,NIOMRE,NDOGAL DIENG,1,196,ABRI
LOUGA,NIOMRE,NDOUKOUK,1,451,CLASSE CP
LOUGA,NIOMRE,NGAGNAKH DIENG,1,293,CLASSE CM2
LOUGA,NIOMRE,NIOMRE,1,574,CLASSE CM2A
LOUGA,NIOMRE,NIOMRE,2,571,CLASSE CE2A
LOUGA,NIOMRE,NIOMRE,3,578,CLASSE CE1A
LOUGA,NIOMRE,NIOMRE,4,571,CM1A
LOUGA,NIOMRE,NIOMRE,5,109,CLASSE CE1 B
LOUGA,NIOMRE,NIOMRE THIENG 1,1,441,CLASSE CP
LOUGA,NIOMRE,NIOMRE THIENG 2,1,213,CLASSE CE2B
LOUGA,NIOMRE,PAKHA SOW,1,354,CLASSE CE2
LOUGA,NIOMRE,TACKO BISSAP,1,355,CLASSE CI
LOUGA,NIOMRE,TANIM NGAGNAKH,1,230,CLASSE CP
LOUGA,NIOMRE,TANIM NIOMRE,1,453,CLASSE CM1
