DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,SAKAL,BARALE,1,343.0,CLASSE CM1
LOUGA,SAKAL,BARALE,2,342.0,ECOLE SALLE DE CLASSE
LOUGA,SAKAL,GADE NDEMBA OUOLOF,1,333.0,CE 1
LOUGA,SAKAL,KADIAR PEULH,1,189.0,CLASSE CE1
LOUGA,SAKAL,KEUR IBRA NIANG,1,445.0,CLASSE CE1
LOUGA,SAKAL,KEUR MANDIAYE BAKARY,1,463.0,CLASSE CE2
LOUGA,SAKAL,KEUR MEISSA GAYE,1,318.0,CLASSE CM1
LOUGA,SAKAL,KEUR MEISSA GAYE,2,318.0,CE2 ECOLE ELEMENTAIRE
LOUGA,SAKAL,KEUR PATHE SANTHIE,1,343.0,ABRI PROVISOIRE
LOUGA,SAKAL,KEUR SAMPENDEL,1,563.0,ABRI PROVISOIRE
LOUGA,SAKAL,MASSAR 2,1,571.0,CLASSE CM1
LOUGA,SAKAL,MBANDE PEULH,1,365.0,CLASSE CP
LOUGA,SAKAL,MBEKHAL PEULH,1,200.0,ABRI PROVISOIRE
LOUGA,SAKAL,NDABE TALL,1,322.0,CLASSE CE 2
LOUGA,SAKAL,NDAVASS DIAGNE,1,540.0,CLASSE CM1
LOUGA,SAKAL,NDIAMATHIE FALL,1,382.0,ABRI PROVISOIRE
LOUGA,SAKAL,NDIEYE SATOURE,1,347.0,ABRI PROVISOIRE
LOUGA,SAKAL,NDIOBENE MBATAR,1,588.0,ABRI PROVISOIRE
LOUGA,SAKAL,NGADJI SAR,1,579.0,CLASSE CE1
LOUGA,SAKAL,NGADJI SAR,2,45.0,CLASSE CP1
LOUGA,SAKAL,NGUICK FALL,1,351.0,CLASSE CM2
LOUGA,SAKAL,NGUICK FALL,2,352.0,CLASSE CP2
LOUGA,SAKAL,PENEDJI,1,325.0,ABRI PROVISOIRE
LOUGA,SAKAL,RIMBAKH SYLL,1,300.0,CLASSE CP
LOUGA,SAKAL,ROYE DIEYE,1,540.0,CLASSE CM1
LOUGA,SAKAL,SAKAL,1,482.0,CLASSE CM1
LOUGA,SAKAL,SAKAL,2,481.0,CLASSE CP
LOUGA,SAKAL,SAKAL,3,483.0,CLASSE CE2
LOUGA,SAKAL,SAKAL,4,483.0,CLASSE CM 2
LOUGA,SAKAL,SAMBA NGARA,1,204.0,ABRI PROVISOIRE
LOUGA,SAKAL,SANTHIOU MERINA,1,453.0,ABRI PROVISOIRE
LOUGA,SAKAL,THIALLA KEBE,1,324.0,ABRI PROVISOIRE
LOUGA,SAKAL,VINDOU,1,392.0,ABRI PROVISOIRE
LOUGA,SAKAL,YAMANE SECK,1,378.0,ABRI PROVISOIRE
