DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,SYER,BAVDE DOUDAL DIONABE,1,393,ABRI PROVISOIRE
LOUGA,SYER,BELEL GAVDI,1,176,ABRI PROVISOIRE
LOUGA,SYER,BIGUENE,1,255,CLASSE CE1
LOUGA,SYER,DIELALY,1,279,CLASSE CM1
LOUGA,SYER,DIELEFOUL,1,104,ABRI PROVISOIRE
LOUGA,SYER,FOSS,1,280,CLASSE CM2
LOUGA,SYER,GUIDIK,1,189,CLASSE CM1
LOUGA,SYER,KEUR NDARI,1,328,ABRI PROVISOIRE
LOUGA,SYER,KOUNDOUG,1,92,ECOLE ELEMENTAIRE CLASSE CI - CP
LOUGA,SYER,LAWASS,1,260,ABRI PROVISOIRE
LOUGA,SYER,MALLA,1,190,CLASSE CM2
LOUGA,SYER,MALLA,2,190,CLASSE CM1
LOUGA,SYER,MBANAR KEUR NDIOUGA PENDA,1,145,ABRI PROVISOIRE
LOUGA,SYER,MBAR TOUBAB,1,250,CLASSE CE2
LOUGA,SYER,MBELOGNE BOULBE,1,372,ABRI PROVISOIRE
LOUGA,SYER,NDIAYENE DAKHAR,1,143,ABRI PROVISOIRE
LOUGA,SYER,NDIOYO,1,248,ABRI PROVISOIRE
LOUGA,SYER,SYER,1,556,CLASSE CM2
LOUGA,SYER,SYER 3,1,364,CLASSE CM1
LOUGA,SYER,TAGAR,1,272,ABRI PROVISOIRE
