DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,THIAMENE CAYOR,BELGARKI,1,346.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,THIAMENE CAYOR,ECOLE DAROU MBAYE,1,209.0,ECOLE PRIMAIRE
LOUGA,THIAMENE CAYOR,ECOLE ELEMENTAIRE DE TORDIO,1,234.0,ECOLE ELEMENTAIRE DE TORDIO
LOUGA,THIAMENE CAYOR,ECOLE NDIAO 1,1,174.0,ECOLE PRIMAIRE
LOUGA,THIAMENE CAYOR,ECOLE PRIMAIRE MOUGNAREL 1,1,331.0,SALLE DE CLASSE
LOUGA,THIAMENE CAYOR,ECOLE PRIMAIRE THIANOR 1,1,165.0,SALLE DE CLASSE
LOUGA,THIAMENE CAYOR,GUELI,1,278.0,ECOLE PRIMAIRE CLASSE CM1
LOUGA,THIAMENE CAYOR,GUELI,2,279.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,THIAMENE CAYOR,KEUR BASSINE,1,515.0,ECOLE PRIMAIRE CLASSE CM2
LOUGA,THIAMENE CAYOR,MAIMOUNA,1,412.0,ECOLE PRIMAIRE CLASSE CM2
LOUGA,THIAMENE CAYOR,MAIMOUNA,2,411.0,ECOLE PRIMAIRE CLASSE CE1
LOUGA,THIAMENE CAYOR,MBACKE BARI,1,122.0,ECOLE PRIMAIRE CLASSE CI
LOUGA,THIAMENE CAYOR,MOUKH MOUKH,1,327.0,ECOLE PRIMAIRE CLASSE CM2
LOUGA,THIAMENE CAYOR,MOUKH MOUKH,2,327.0,ECOLE PRIMAIRE CLASSE CI
LOUGA,THIAMENE CAYOR,NDIAMBOR,1,194.0,ECOLE PRIMAIRE CLASSE CI
LOUGA,THIAMENE CAYOR,NDIARE TOUBA NDIAYE,1,293.0,ECOLE FRANCO ARABE CLASSE CE2
LOUGA,THIAMENE CAYOR,SANGHE,1,183.0,ECOLE PRIMAIRE
LOUGA,THIAMENE CAYOR,SIEGE ASUFOR MOUGNAREL 2,1,421.0,SIEGE ASUFOR
LOUGA,THIAMENE CAYOR,THIAMENE,1,565.0,ECOLE ELEMENTAIRE DE THIAMENE 1
LOUGA,THIAMENE CAYOR,THIAMENE,2,570.0,ECOLE PRIMAIRE THIAMENE 1 CI B
LOUGA,THIAMENE CAYOR,THIAMENE,3,557.0,ECOLE PRIMAIRE THIAMENE 1 CI A
LOUGA,THIAMENE CAYOR,THIAMENE,4,553.0,ECOLE PRIMAIRE THIAMENE 1 CP A
LOUGA,THIAMENE CAYOR,THIAMENE,5,389.0,ECOLE PRIMAIRE THIAMENE 1 CE2
