DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,AOURE,AOURE,01,556,ECOLE CLASSE CI
KANEL,AOURE,AOURE,02,556,ECOLE CLASSE CE1
KANEL,AOURE,AOURE,03,557,ECOLE CLASSE CE2
KANEL,AOURE,AOURE,04,557,ECOLE CLASSE CM1
KANEL,AOURE,AOURE,05,552,CM 2 A
KANEL,AOURE,AOURE,06,554,SALLE DE CLASSE
KANEL,AOURE,BOKISSABOUDOU,01,399,ECOLE CLASSE CI
KANEL,AOURE,BOULBI,01,365,ABRI PROVISOIRE
KANEL,AOURE,DIALLOUBE,01,595,ECOLE CLASSE CI
KANEL,AOURE,DIALLOUBE,02,594,ECOLE CLASSE CE2
KANEL,AOURE,DIAMOUGUEL,01,522,ECOLE CLASSE CI
KANEL,AOURE,DIAMOUGUEL,02,519,ECOLE CLASSE CP
KANEL,AOURE,DIAMOUGUEL,03,522,ECOLE CLASSE CM1
KANEL,AOURE,DIAOBE KOBILO,01,263,ECOLE SALLE DE CLASSE
KANEL,AOURE,DIAOBE KOBILO,02,158,ECOLE SALLE DE CLASSE
KANEL,AOURE,DOUDE BAGUE,01,214,ABRI PROVISOIRE
KANEL,AOURE,DOUNDE,01,508,ECOLE CLASSE CM1
KANEL,AOURE,DOUNDE,02,510,ECOLE CLASSE CI
KANEL,AOURE,DOUNDE,03,509,ECOLE SALLE DE CLASSE
KANEL,AOURE,GODIOVEL,01,388,ABRI PROVISOIRE
KANEL,AOURE,GOUREL DARA,01,264,ECOLE SALLE DE CLASSE
KANEL,AOURE,HAMDALLAYE,01,234,ECOLE SALLE DE CLASSE
KANEL,AOURE,LOBOUGAL,01,108,ECOLE SALLE DE CLASSE
KANEL,AOURE,LOUGUE NODI,01,260,ECOLE SALLE DE CLASSE
KANEL,AOURE,MAYEL NDAGANE,01,127,ECOLE SALLE DE CLASSE
KANEL,AOURE,NDIOTT,01,436,ECOLE CLASSE CI
KANEL,AOURE,NDIOTT,02,437,CP
KANEL,AOURE,NIANGANA THIEDEL,01,218,ABRI PROVISOIRE
KANEL,AOURE,PATOUKI ORIENTAL,01,168,ABRI PROVISOIRE
KANEL,AOURE,SINDOU,01,186,ECOLE SALLE DE CLASSE
KANEL,AOURE,VALEL,01,461,ECOLE SALLE DE CLASSE
KANEL,AOURE,VALEL,02,462,ECOLE SALLE DE CLASSE
KANEL,AOURE,YERIMALE TOROBE,01,565,ECOLE CLASSE CI
KANEL,AOURE,YERIMALE TOROBE,02,563,ECOLE CLASSE CE1
