DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,BOKILADJI,ADABERE,01,586,ECOLE CLASSE CI
KANEL,BOKILADJI,ADABERE,02,588,ECOLE CLASSE CM2
KANEL,BOKILADJI,ALANA,01,569,ABRI PROVISOIRE
KANEL,BOKILADJI,ALANA,02,51,ABRI PROVISOIRE
KANEL,BOKILADJI,APPE DIAOUBE,01,414,ECOLE CLASSE CI
KANEL,BOKILADJI,APPE DIAOUBE,02,413,ECOLE SALLE DE CLASSE
KANEL,BOKILADJI,BABANGOL,01,484,ECOLE CLASSE CI
KANEL,BOKILADJI,BOKILADJI,01,594,ECOLE CLASSE CI
KANEL,BOKILADJI,BOKILADJI,02,594,ECOLE CLASSE CM2
KANEL,BOKILADJI,BOKILADJI,03,593,CE1
KANEL,BOKILADJI,BONDJI WALI,01,327,ECOLE CLASSE CI
KANEL,BOKILADJI,BONDJI WALI,02,326,ECOLE CLASSE CP
KANEL,BOKILADJI,BONDJI WALI,03,329,ECOLE CLASSE CE2
KANEL,BOKILADJI,FADIARA,01,462,ECOLE CLASSE CI
KANEL,BOKILADJI,GANGUEL MAKA,01,579,ECOLE CLASSE CI
KANEL,BOKILADJI,GANGUEL MAKA,02,576,ECOLE CLASSE CE1
KANEL,BOKILADJI,GANGUEL MAKA,03,65,ECOLE SALLE DE CLASSE
KANEL,BOKILADJI,GAOUDE BOFFE,01,399,ECOLE CLASSE CI
KANEL,BOKILADJI,GAOUDE BOFFE,02,398,ECOLE CLASSE CP
KANEL,BOKILADJI,KAWAL,01,528,SALLE DE CLASSE
KANEL,BOKILADJI,KAWAL,02,113,SALLE DE CLASSE
KANEL,BOKILADJI,LOBALI,01,555,ECOLE CLASSE CI
KANEL,BOKILADJI,LOBALI,02,564,ECOLE CLASSE CM1
KANEL,BOKILADJI,LOBALI,03,190,SALLE DE CLASSE
KANEL,BOKILADJI,OURO MBOULEL,01,585,ECOLE CLASSE CI
KANEL,BOKILADJI,SINTHIOU FADIARA,01,408,ECOLE CLASSE CI
KANEL,BOKILADJI,SINTHIOU FADIARA,02,409,SALLE DE CLASSE
KANEL,BOKILADJI,THIAGNAF,01,569,ECOLE CLASSE CE1
KANEL,BOKILADJI,THIAGNAF,02,41,ECOLE SALLE DE CLASSE
KANEL,BOKILADJI,YACINE LACKE,01,501,ECOLE CLASSE CI
KANEL,BOKILADJI,YACINE LACKE,02,502,ECOLE CLASSE CM1
KANEL,BOKILADJI,YACINE LACKE,03,501,SALLE DE CLASSE
