DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,ORKADIERE,BALEL,01,488,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,BARKATOU,01,378,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,BARKATOU,02,378,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,BARKEVI,01,396,ECOLE CLASSE CI
KANEL,ORKADIERE,DIELLA,01,488,ECOLE CLASSE CI
KANEL,ORKADIERE,DIELLA,02,486,ECOLE CLASSE CE1
KANEL,ORKADIERE,DIELLA,03,486,ECOLE CLASSE CM1
KANEL,ORKADIERE,DIELLA,04,487,CLASSE CE2 ECOLE
KANEL,ORKADIERE,GANGUEL SOULE,01,456,ECOLE CLASSE CI
KANEL,ORKADIERE,GANGUEL SOULE,02,456,ECOLE CLASSE CE2
KANEL,ORKADIERE,GANGUEL SOULE,03,457,ECOLE CLASSE CM1
KANEL,ORKADIERE,GANGUEL SOULE,04,457,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,GASSAMBERI,01,398,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,GASSAMBERI,02,306,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,GOUMAL,01,415,ECOLE CLASSE CI
KANEL,ORKADIERE,GOUMAL,02,414,ECOLE CLASSE CM1
KANEL,ORKADIERE,GOURIKI COLIABE,01,425,ECOLE CLASSE CI
KANEL,ORKADIERE,GOURIKI COLIABE,02,428,SALLE DE CLASSE
KANEL,ORKADIERE,GOURIKI SAMBA DIOM,01,445,ECOLE CLASSE CI
KANEL,ORKADIERE,ORKADIERE,01,578,ECOLE CLASSE CI
KANEL,ORKADIERE,ORKADIERE,02,577,ECOLE CLASSE CP
KANEL,ORKADIERE,ORKADIERE,03,579,ECOLE CLASSE CE1
KANEL,ORKADIERE,ORKADIERE,04,580,ECOLE CLASSE CE2
KANEL,ORKADIERE,ORKADIERE,05,575,ECOLE CLASSE CM1
KANEL,ORKADIERE,ORKADIERE,06,576,ECOLE CLASSE CM2
KANEL,ORKADIERE,ORKADIERE,07,578,CLASSE CI B ECOLE
KANEL,ORKADIERE,ORKADIERE,08,578,SALLE DE CLASSE
KANEL,ORKADIERE,ORKADIERE,09,573,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,PADALAL,01,475,ECOLE CLASSE CI
KANEL,ORKADIERE,PADALAL,02,478,ECOLE CLASSE CE1
KANEL,ORKADIERE,PADALAL,03,477,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,POLEL DIAOUBE,01,501,ECOLE CLASSE CI
KANEL,ORKADIERE,POLEL DIAOUBE,02,500,ECOLE CLASSE CE1
KANEL,ORKADIERE,POLEL DIAOUBE,03,504,CLASSE CE 2 ECOLE
KANEL,ORKADIERE,SINTHIANE DIOUDE,01,496,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,SINTHIOU POLEL,01,527,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,SINTHIOU POLEL,02,129,ECOLE SALLE DE CLASSE
KANEL,ORKADIERE,VINDOU BOSSEABE,01,577,ECOLE CLASSE CI
KANEL,ORKADIERE,VINDOU BOSSEABE,02,569,ECOLE CLASSE CE1
KANEL,ORKADIERE,VINDOU BOSSEABE,03,580,ECOLE CLASSE CM1
KANEL,ORKADIERE,VINDOU BOSSEABE,04,577,ECOLE CLASSE CP
KANEL,ORKADIERE,VINDOU BOSSEABE,05,573,ECOLE SALLE DE CLASSE
