DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,WOURO SIDY,BOW,01,500,CLASSE CI
KANEL,WOURO SIDY,BOW,02,501,SALLE DE CLASSE
KANEL,WOURO SIDY,DOLOL,01,307,CLASSE CP
KANEL,WOURO SIDY,ECOLE SORINGHO SEBBE,01,499,CLASSE CE1A
KANEL,WOURO SIDY,ECOLE SORINGHO SEBBE,02,501,CLASSE CM1B
KANEL,WOURO SIDY,ECOLE SORINGHO SEBBE,03,501,SALLE DE CLASSE
KANEL,WOURO SIDY,FETE BOVE,01,207,SALLE DE CLASSE
KANEL,WOURO SIDY,FORA DIAWARA,01,424,CLASSE CM2
KANEL,WOURO SIDY,FOUMIHARA DEMBOUBE,01,552,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,FOUMIHARA DEMBOUBE,02,62,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,FOUMIHARA DIAMWELY,01,472,CLASSE CM2
KANEL,WOURO SIDY,FOUMIHARA DIOBE,01,365,CLASSE CM1
KANEL,WOURO SIDY,FOUMIHARA DIOBE,02,362,CLASSE CI ECOLE
KANEL,WOURO SIDY,LEWE DAMGA,01,461,CLASSE CE2
KANEL,WOURO SIDY,MADINA TOROBE,01,503,CLASSE CE1
KANEL,WOURO SIDY,MADINA TOROBE,02,501,CLASSE CM2
KANEL,WOURO SIDY,MBOUNG,01,30,ABRI PROVISOIRE
KANEL,WOURO SIDY,MBOUNGUIEL,01,92,ABRI PROVISOIRE
KANEL,WOURO SIDY,NAMARI,01,593,ABRI PROVISOIRE
KANEL,WOURO SIDY,NGHAR,01,48,ABRI PROVISOIRE
KANEL,WOURO SIDY,OURO SIDI,01,569,CLASSE CE2
KANEL,WOURO SIDY,OURO SIDI,02,565,CLASSE CM2
KANEL,WOURO SIDY,OURO SIDI,03,572,SALLE DE CLASSE
KANEL,WOURO SIDY,OURO SIDI,04,106,SALLE DE CLASSE
KANEL,WOURO SIDY,RANEROU ORIENTAL,01,13,ABRI PROVISOIRE
KANEL,WOURO SIDY,SINTHIANE,01,513,CLASSE CP
KANEL,WOURO SIDY,SINTHIANE,02,514,CLASSE CE2
KANEL,WOURO SIDY,SINTHIANE,03,515,CLASSE CM2
KANEL,WOURO SIDY,SINTHIANE,04,515,CLASSE CI ECOLE
KANEL,WOURO SIDY,SORINGHO POULAR,01,439,CLASSE CM1
KANEL,WOURO SIDY,SORINGHO POULAR,02,439,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,THIALI MAKA,01,416,CLASSE CM1
KANEL,WOURO SIDY,THIALI MAKA,02,414,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,THIALY SOUBALO,01,564,SALLE DE CLASSE
KANEL,WOURO SIDY,THIALY SOUBALO,02,41,SALLE DE CLASSE
KANEL,WOURO SIDY,THIEMPING,01,562,CLASSE CE1
KANEL,WOURO SIDY,THIEMPING,02,561,CLASSE CM2
KANEL,WOURO SIDY,THIEMPING,03,564,SALLE DE CLASSE
KANEL,WOURO SIDY,THIEMPING,04,159,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,VENDOU ALY,01,154,SALLE DE CLASSE
