REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,KANEL,AOURE,AOURE,01,556,ECOLE CLASSE CI
MATAM,KANEL,AOURE,AOURE,02,556,ECOLE CLASSE CE1
MATAM,KANEL,AOURE,AOURE,03,557,ECOLE CLASSE CE2
MATAM,KANEL,AOURE,AOURE,04,557,ECOLE CLASSE CM1
MATAM,KANEL,AOURE,AOURE,05,552,CM 2 A
MATAM,KANEL,AOURE,AOURE,06,554,SALLE DE CLASSE
MATAM,KANEL,AOURE,BOKISSABOUDOU,01,399,ECOLE CLASSE CI
MATAM,KANEL,AOURE,BOULBI,01,365,ABRI PROVISOIRE
MATAM,KANEL,AOURE,DIALLOUBE,01,595,ECOLE CLASSE CI
MATAM,KANEL,AOURE,DIALLOUBE,02,594,ECOLE CLASSE CE2
MATAM,KANEL,AOURE,DIAMOUGUEL,01,522,ECOLE CLASSE CI
MATAM,KANEL,AOURE,DIAMOUGUEL,02,519,ECOLE CLASSE CP
MATAM,KANEL,AOURE,DIAMOUGUEL,03,522,ECOLE CLASSE CM1
MATAM,KANEL,AOURE,DIAOBE KOBILO,01,263,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,DIAOBE KOBILO,02,158,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,DOUDE BAGUE,01,214,ABRI PROVISOIRE
MATAM,KANEL,AOURE,DOUNDE,01,508,ECOLE CLASSE CM1
MATAM,KANEL,AOURE,DOUNDE,02,510,ECOLE CLASSE CI
MATAM,KANEL,AOURE,DOUNDE,03,509,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,GODIOVEL,01,388,ABRI PROVISOIRE
MATAM,KANEL,AOURE,GOUREL DARA,01,264,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,HAMDALLAYE,01,234,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,LOBOUGAL,01,108,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,LOUGUE NODI,01,260,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,MAYEL NDAGANE,01,127,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,NDIOTT,01,436,ECOLE CLASSE CI
MATAM,KANEL,AOURE,NDIOTT,02,437,CP
MATAM,KANEL,AOURE,NIANGANA THIEDEL,01,218,ABRI PROVISOIRE
MATAM,KANEL,AOURE,PATOUKI ORIENTAL,01,168,ABRI PROVISOIRE
MATAM,KANEL,AOURE,SINDOU,01,186,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,VALEL,01,461,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,VALEL,02,462,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,YERIMALE TOROBE,01,565,ECOLE CLASSE CI
MATAM,KANEL,AOURE,YERIMALE TOROBE,02,563,ECOLE CLASSE CE1
MATAM,KANEL,BOKILADJI,ADABERE,01,586,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,ADABERE,02,588,ECOLE CLASSE CM2
MATAM,KANEL,BOKILADJI,ALANA,01,569,ABRI PROVISOIRE
MATAM,KANEL,BOKILADJI,ALANA,02,51,ABRI PROVISOIRE
MATAM,KANEL,BOKILADJI,APPE DIAOUBE,01,414,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,APPE DIAOUBE,02,413,ECOLE SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,BABANGOL,01,484,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,BOKILADJI,01,594,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,BOKILADJI,02,594,ECOLE CLASSE CM2
MATAM,KANEL,BOKILADJI,BOKILADJI,03,593,CE1
MATAM,KANEL,BOKILADJI,BONDJI WALI,01,327,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,BONDJI WALI,02,326,ECOLE CLASSE CP
MATAM,KANEL,BOKILADJI,BONDJI WALI,03,329,ECOLE CLASSE CE2
MATAM,KANEL,BOKILADJI,FADIARA,01,462,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,GANGUEL MAKA,01,579,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,GANGUEL MAKA,02,576,ECOLE CLASSE CE1
MATAM,KANEL,BOKILADJI,GANGUEL MAKA,03,65,ECOLE SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,GAOUDE BOFFE,01,399,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,GAOUDE BOFFE,02,398,ECOLE CLASSE CP
MATAM,KANEL,BOKILADJI,KAWAL,01,528,SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,KAWAL,02,113,SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,LOBALI,01,555,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,LOBALI,02,564,ECOLE CLASSE CM1
MATAM,KANEL,BOKILADJI,LOBALI,03,190,SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,OURO MBOULEL,01,585,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,SINTHIOU FADIARA,01,408,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,SINTHIOU FADIARA,02,409,SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,THIAGNAF,01,569,ECOLE CLASSE CE1
MATAM,KANEL,BOKILADJI,THIAGNAF,02,41,ECOLE SALLE DE CLASSE
MATAM,KANEL,BOKILADJI,YACINE LACKE,01,501,ECOLE CLASSE CI
MATAM,KANEL,BOKILADJI,YACINE LACKE,02,502,ECOLE CLASSE CM1
MATAM,KANEL,BOKILADJI,YACINE LACKE,03,501,SALLE DE CLASSE
MATAM,KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,01,590,ECOLE CLASSE CPA
MATAM,KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,02,590,ECOLE CLASSE CE1A
MATAM,KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,03,591,ECOLE CLASSE CM1A
MATAM,KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,04,592,ECOLE CLASSE CM2B
MATAM,KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,05,592,SALLE DE CLASSE
MATAM,KANEL,DEMBANCANE,WERMA ECOLE ELEMENTAIRE,01,404,ECOLE CLASSE CE2
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,01,585,CLASSE CE1A
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,02,584,CLASSE CM1B
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,03,587,CLASSE CM1A
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,04,584,CLASSE CE2A
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,05,586,CLASSE CM2A
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,06,584,CLASSE CE1C
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,07,584,SALLE DE CLASSE
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,08,585,SALLE DE CLASSE
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,09,585,SALLE CTP
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,10,585,SALLE CTP
MATAM,KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,11,577,SALLE CTP
MATAM,KANEL,KANEL,CASE DES TOUT PETITS,01,516,GRANDE SALLE
MATAM,KANEL,KANEL,CASE DES TOUT PETITS,02,517,SALLE
