DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,BOKIDIAVE,BALEL PATHE,1,141.0,SALLE DE CLASSE
MATAM,BOKIDIAVE,BALEL PATHE,2,133.0,SALLE DE CLASSE
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,1,573.0,CLASSE CM2 A
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,2,575.0,CLASSE CM2 B
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,3,574.0,CLASSE CM1 A
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,4,574.0,CLASSE CM1 B
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,1,543.0,CLASSE CE1 A
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,2,547.0,CLASSE CE1 B
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,3,562.0,CLASSE CE2 A
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,4,554.0,CLASSE CE2 B
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,5,264.0,ECOLE BOKIDIAWE1 CLASSE CP
MATAM,BOKIDIAVE,DIAMEL GAOUDAL,1,435.0,ECOLE GAOUDAL 2/ CLASSE CM 2
MATAM,BOKIDIAVE,DIOLOL DIAOBE,1,369.0,CLASSE CM 2
MATAM,BOKIDIAVE,DIOLOL DIAOBE,2,368.0,CLASSE CE 2
MATAM,BOKIDIAVE,DIOLOL DIAOBE,3,367.0,CLASSE CP
MATAM,BOKIDIAVE,DONDOU,1,549.0,CLASSE CM2 A
MATAM,BOKIDIAVE,DONDOU,2,548.0,CLASSE CM2 B
MATAM,BOKIDIAVE,DONDOU,3,549.0,CLASSE CM1 A
MATAM,BOKIDIAVE,DONDOU,4,547.0,CLASSE CM1B
MATAM,BOKIDIAVE,DONDOU,5,543.0,CLASSE CE2A
MATAM,BOKIDIAVE,DONDOU,6,551.0,CLASSE CE2B
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,1,570.0,CLASSE CM2A
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,2,566.0,CLASSE CM2B
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,3,574.0,CLASSE CM1A
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,4,567.0,CLASSE CE2
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,5,398.0,ECOLE DOUMGA OURO ALPHA 1 CM1 B
MATAM,BOKIDIAVE,DOUMGA OURO THIERNO,1,463.0,CLASSE CM 2
MATAM,BOKIDIAVE,DOUMGA OURO THIERNO,2,461.0,CLASSE CE2
MATAM,BOKIDIAVE,DOUMGA RINDIAW,1,538.0,CLASSE CM 2
MATAM,BOKIDIAVE,DOUMGA RINDIAW,2,534.0,CLASSE CM 1
MATAM,BOKIDIAVE,ECOLE DIOLOL YALALBE,1,552.0,ECOLE / CLASSE CI
MATAM,BOKIDIAVE,ECOLE DIOVOL,1,426.0,ECOLE / CLASSE CP
MATAM,BOKIDIAVE,ECOLE KIRIRE 1,1,594.0,ECOLE / CLASSE CE1
MATAM,BOKIDIAVE,ECOLE MOW,1,343.0,ECOLE / CLASSE CI
MATAM,BOKIDIAVE,ECOLE PADE BOYNGAL,1,163.0,ECOLE PADE BOYNGAL CLASSE CM2
MATAM,BOKIDIAVE,GAOL,1,508.0,CLASSE CM 2
MATAM,BOKIDIAVE,GAOL,2,509.0,CLASSE CM 1
MATAM,BOKIDIAVE,GAOUDAL,1,421.0,CLASSE CM 2
MATAM,BOKIDIAVE,GAOUDAL,2,419.0,CLASSE CM 1
MATAM,BOKIDIAVE,GUIRAYE,1,576.0,CLASSE CM 2
MATAM,BOKIDIAVE,GUIRAYE,2,125.0,CLASSE CP
MATAM,BOKIDIAVE,KATOTE,1,500.0,CLASSE CM 2
MATAM,BOKIDIAVE,KAVEL DIALLOUBE,1,472.0,CLASSE CM 2
MATAM,BOKIDIAVE,KAVEL DIALLOUBE,2,470.0,CLASSE CM 1
MATAM,BOKIDIAVE,KAVEL DIALLOUBE,3,470.0,CLASSE CE 2
MATAM,BOKIDIAVE,MBAKHNA 1,1,563.0,CLASSE CM 2
MATAM,BOKIDIAVE,MBAKHNA 1,2,561.0,CLASSE CM 1
MATAM,BOKIDIAVE,MBOLOYEL,1,476.0,CLASSE CM 2
MATAM,BOKIDIAVE,MBOLOYEL,2,476.0,CLASSE CM 1
MATAM,BOKIDIAVE,SADEL,1,531.0,CLASSE CM2 A
MATAM,BOKIDIAVE,SADEL,2,539.0,CLASSE CM2 B
MATAM,BOKIDIAVE,SADEL,3,533.0,CLASSE CM1 A
MATAM,BOKIDIAVE,SADEL,4,539.0,CLASSE CE 2 ECOLE 1
MATAM,BOKIDIAVE,SADEL,5,381.0,CLASSE SADEL 1 CLASSE CM1 B
MATAM,BOKIDIAVE,SARACOURO DIALLOUBE,1,394.0,CLASSE CE2
MATAM,BOKIDIAVE,SARACOURO DIALLOUBE,2,335.0,SALLE DE CLASSE
MATAM,BOKIDIAVE,THIEHEL SEBBE,1,533.0,SALLE DE CLASSE
