DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,DABIA,BARGA,1,436.0,ECOLE BARGA CLASSE CM2
MATAM,DABIA,DABIA ODEDJI,1,522.0,CLASSE CM2A
MATAM,DABIA,DABIA ODEDJI,2,529.0,CLASSE CM2B
MATAM,DABIA,DABIA ODEDJI,3,513.0,CLASSE CM1A
MATAM,DABIA,DABIA ODEDJI,4,243.0,CLASSE CP
MATAM,DABIA,DIAL PECHEURS,1,572.0,ECOLE CLASSE CM2
MATAM,DABIA,DIAL PECHEURS,2,575.0,ECOLE CLASSE CE2
MATAM,DABIA,DIAL PECHEURS,3,112.0,ABRI PROVISOIRE
MATAM,DABIA,DIONGTO,1,407.0,CLASSE CM1
MATAM,DABIA,DIONGTO,2,407.0,CLASSE CM2
MATAM,DABIA,ECOLE SYLLA,1,262.0,CLASSE CI
MATAM,DABIA,GABABE PECHEURS,1,453.0,CLASSE CM1
MATAM,DABIA,GABABE PECHEURS,2,453.0,SALLE DE CLASSE
MATAM,DABIA,GOUDOUDE DIOBE,1,489.0,CLASSE CI
MATAM,DABIA,GOUDOUDE DIOBE,2,359.0,SALLE DE CLASSE
MATAM,DABIA,GOUDOUDE NDOUETBE,1,573.0,CLASSE CE2
MATAM,DABIA,GOUDOUDE NDOUETBE,2,579.0,CLASSE CM1
MATAM,DABIA,GOUDOUDE NDOUETBE,3,255.0,SALLE DE CLASSE CP
MATAM,DABIA,KOBILO DIADIABE,1,544.0,ECOLE KOBILO DIAKESBE CE2A
MATAM,DABIA,KOBILO DIADIABE,2,543.0,ECOLE KOBILO DIAKESBE CM1B
MATAM,DABIA,KOBILO DIADIABE,3,544.0,ECOLE KOBILO DIAKESBE CM2B
MATAM,DABIA,KOBILO DIAKESBE,1,566.0,ECOLE KOBILO 2 CLASSE C1
MATAM,DABIA,KOBILO DIAKESBE,2,569.0,ECOLE KOBILO 2 CLASSE CE2
MATAM,DABIA,KOBILO TOROBE,1,562.0,CLASSE CPA
MATAM,DABIA,KOBILO TOROBE,2,559.0,CLASSE CPB
MATAM,DABIA,KOBILO TOROBE,3,559.0,CLASSE CE 1 A ECOLE
MATAM,DABIA,MOLLE OUALO,1,153.0,ABRI PROVISOIRE
MATAM,DABIA,SARE LIOU,1,553.0,CLASSE CM1
MATAM,DABIA,SARE LIOU,2,351.0,SALLE DE CLASSE
MATAM,DABIA,SINTHIOU DIAMBOR,1,526.0,CLASSE CM2
