DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,NABADJI CIVOL,BOKISSABOUDOU,01,499,CLASSE CM 2
MATAM,NABADJI CIVOL,BOKISSABOUDOU,02,500,CLASSE CM1
MATAM,NABADJI CIVOL,BOYNADJI ROUMDE,01,489,CLASSE CM2A
MATAM,NABADJI CIVOL,BOYNADJI ROUMDE,02,490,CLASSE CM2 B
MATAM,NABADJI CIVOL,BOYNADJI ROUMDE,03,487,CLASSE CE2
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,01,537,CLASSE CM1 A
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,02,537,CLASSE CM1 B
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,03,537,CLASSE CE2 A
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,04,534,SALLE DE CLASSE
MATAM,NABADJI CIVOL,DIENGA,01,479,ABRI PROVISOIRE
MATAM,NABADJI CIVOL,ECOLE HONTORBE,01,459,ECOLE / CLASSE CI
MATAM,NABADJI CIVOL,ECOLE SIRIWORO,01,311,ECOLE / CLASSE CP
MATAM,NABADJI CIVOL,ECOLE THIOUBALEL,01,380,ECOLE / CLASSE CI
MATAM,NABADJI CIVOL,ECOLE TIGUERE YENE,01,560,ECOLE / CLASSE CP
MATAM,NABADJI CIVOL,ECOLE TIGUERE YENE,02,269,ECOLE / CLASSE CI
MATAM,NABADJI CIVOL,FETE NIEBE,01,462,CLASSE CM2 A
MATAM,NABADJI CIVOL,FETE NIEBE,02,461,CLASSE CM1 A
MATAM,NABADJI CIVOL,FETE NIEBE,03,460,CLASSE CE2 A
MATAM,NABADJI CIVOL,KOUNDEL,01,508,CLASSE CM 2
MATAM,NABADJI CIVOL,KOUNDEL,02,510,SALLE DE CLASSE
MATAM,NABADJI CIVOL,MOGO YALALBE 1,01,295,ECOLE MOGO YALALBE/ CLASSE CI
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,01,597,CLASSE CM2  A
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,02,596,CLASSE CM2 B
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,03,597,CLASSE CM1 A
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,04,594,CLASSE CM1 B
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,05,593,CLASSE CE2 A
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,06,599,CLASSE DE CE2 B
MATAM,NABADJI CIVOL,NABADJI MBAL,01,428,CLASSE CM 2
MATAM,NABADJI CIVOL,NABADJI MBAL,02,426,CLASSE CM 1
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,01,560,CLASSE CM2 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,02,555,CLASSE CM2 B
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,03,559,CLASSE CM1 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,04,558,CLASSE CE 2 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,05,558,CLASSE CE 2 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,06,496,ECOLE NDOULMADJI DEMBE 1 - CM 1 B
MATAM,NABADJI CIVOL,NDOULOUMADJI FOUNEBE,01,567,ECOLE / CLASSE CE2
MATAM,NABADJI CIVOL,NDOULOUMADJI FOUNEBE,02,570,ECOLE / CLASSE CE1
MATAM,NABADJI CIVOL,NDOULOUMADJI FOUNEBE,03,415,CLASSE DE CI
MATAM,NABADJI CIVOL,NGUEYENE,01,547,CLASSE CM2 A
MATAM,NABADJI CIVOL,NGUEYENE,02,546,CLASSE CM2 B
MATAM,NABADJI CIVOL,NGUEYENE,03,547,CLASSE CM1 A
MATAM,NABADJI CIVOL,SEDO ABASSE,01,410,CLASSE CM2 A
MATAM,NABADJI CIVOL,SEDO ABASSE,02,406,CLASSE CM2 B
MATAM,NABADJI CIVOL,SEDO SEBE,01,564,ECOLE - CLASSE CM2
MATAM,NABADJI CIVOL,SEDO SEBE,02,559,CLASSE CM1
MATAM,NABADJI CIVOL,SEDO SEBE,03,566,CLASSE CE 2
MATAM,NABADJI CIVOL,SEDO SEBE,04,559,CLASSE CE 1 ECOLE 1
MATAM,NABADJI CIVOL,SEDO SEBE,05,198,ECOLE SEDO SEBE 1 CLASSE CP
MATAM,NABADJI CIVOL,SINTHIOU MOGO,01,504,CLASSE CM 2
MATAM,NABADJI CIVOL,SINTHIOU MOGO,02,501,CLASSE CM1
MATAM,NABADJI CIVOL,THIARENE,01,583,CLASSE CM 2
MATAM,NABADJI CIVOL,THIARENE,02,584,CLASSE C M 1
MATAM,NABADJI CIVOL,THIARENE,03,587,CLASSE C E 2
MATAM,NABADJI CIVOL,THIARENE,04,199,CLASSE CE1 B
MATAM,NABADJI CIVOL,TIGUERE CIRE,01,482,CLASSE CM 2
MATAM,NABADJI CIVOL,TIGUERE CIRE,02,480,CLASSE CM 1
MATAM,NABADJI CIVOL,TIGUERE CIRE,03,482,CLASSE CE 2
MATAM,NABADJI CIVOL,WOUDOUROU,01,528,CLASSE CM 2
MATAM,NABADJI CIVOL,WOUDOUROU,02,532,CLASSE CM 1
MATAM,NABADJI CIVOL,WOUDOUROU,03,522,CLASSE CE 2
MATAM,NABADJI CIVOL,WOUDOUROU,04,528,SALLE DE CLASSE
MATAM,NABADJI CIVOL,WOUDOUROU,05,339,ECOLE WOUDOUROU 1 CLASSE CP
