DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,NGUIDJILONE,ALI OURI,01,441,CLASSE CM 2
MATAM,NGUIDJILONE,ALI OURI,02,440,CLASSE CM 1
MATAM,NGUIDJILONE,ALI OURI,03,442,CLASSE CE 2
MATAM,NGUIDJILONE,ECOLE FRANCO ARABE,01,438,SALLE DE CLASSE
MATAM,NGUIDJILONE,ECOLE FRANCO ARABE,02,439,SALLE DE CLASSE
MATAM,NGUIDJILONE,ECOLE FRANCO ARABE,03,439,SALLE DE CLASSE
MATAM,NGUIDJILONE,KEDELE,01,503,ECOLE KEDELE/ CLASSE CM2
MATAM,NGUIDJILONE,KEDELE,02,326,ECOLE KEDELE/ CLASSE CE2
MATAM,NGUIDJILONE,NGUIDJILONE,01,559,CLASSE CM2 A
MATAM,NGUIDJILONE,NGUIDJILONE,02,569,CLASSE CM2 B
MATAM,NGUIDJILONE,NGUIDJILONE,03,563,CLASSE CM1 A
MATAM,NGUIDJILONE,NGUIDJILONE,04,560,CLASSE CM1 B
MATAM,NGUIDJILONE,NGUIDJILONE,05,533,CLASSE CE1 A
MATAM,NGUIDJILONE,NGUIDJILONE,06,329,ECOLE SADA NDIAYE CLASSE CE 1 B
MATAM,NGUIDJILONE,SOMONO,01,574,CLASSE DE CP
MATAM,NGUIDJILONE,SOMONO,02,27,ECOLE SOMONO CLASSE CM2
