DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,OGO,BELINAYDE MBAYLA,01,508,ABRI PROVISOIRE
MATAM,OGO,BELINAYDE MBAYLA,02,508,ABRI PROVISOIRE
MATAM,OGO,DANTHIADI,01,568,CLASSE CM2 A
MATAM,OGO,DANTHIADI,02,559,CLASSE CM1 A
MATAM,OGO,DANTHIADI,03,571,CLASSE CE2 A
MATAM,OGO,DANTHIADI,04,488,ECOLE DANTHIADY/ CLASSE DE CI A
MATAM,OGO,DIANDIOLY TOUCOULEUR,01,531,CLASSE CM2 A
MATAM,OGO,DIANDIOLY TOUCOULEUR,02,538,CLASSE CM1 A
MATAM,OGO,DIANDIOLY TOUCOULEUR,03,532,CLASSE CE2 A
MATAM,OGO,DIANDIOLY TOUCOULEUR,04,311,CLASSE CE1 B
MATAM,OGO,DINDOUDI,01,332,CLASSE CM 1
MATAM,OGO,ECOLE HAMARABE,01,481,CLASSE CP
MATAM,OGO,GALOYABE TOUCOULEUR,01,288,CLASSE CM 2
MATAM,OGO,GALOYABE TOUCOULEUR,02,287,CLASSE CM 1
MATAM,OGO,GALOYABE TOUCOULEUR,03,287,CLASSE CI
MATAM,OGO,GANABALOL,01,435,CLASSE CM 2
MATAM,OGO,GARLI,01,504,CLASSE CM 2
MATAM,OGO,GARLI,02,108,ECOLE GARLY/ CLASSE CM1
MATAM,OGO,HOMBO,01,435,CLASSE CM 2
MATAM,OGO,HOMBO,02,438,CLASSE CM 1
MATAM,OGO,LAMBANGO,01,336,CLASSE CE 2
MATAM,OGO,LEVE NGUENAR,01,582,CLASSE CE 1
MATAM,OGO,LEVE NGUENAR,02,294,CLASSE DE CM1
MATAM,OGO,LOUMBOL ALLOUKI,01,223,ECOLE CLASSE CI
MATAM,OGO,OGO,01,563,CLASSE CM2 A
MATAM,OGO,OGO,02,565,CLASSE CM2 B
MATAM,OGO,OGO,03,561,CLASSE CM1 A
MATAM,OGO,OGO,04,560,CLASSE CE2 A
MATAM,OGO,OGO,05,572,CLASSE CM 1 ECOLE 1
MATAM,OGO,OGO,06,354,CLASSE CE2 B ECOLE 1
MATAM,OGO,SINTHIOU GARBA,01,562,CLASSE CM2 A
MATAM,OGO,SINTHIOU GARBA,02,554,CLASSE CM2 B
MATAM,OGO,SINTHIOU GARBA,03,567,CLASSE CM1 A
MATAM,OGO,SINTHIOU GARBA,04,566,CLASSE CM1 B
MATAM,OGO,SINTHIOU GARBA,05,552,CLASSE CE2 A
MATAM,OGO,SINTHIOU GARBA,06,557,CLASSE CE2B
MATAM,OGO,SINTHIOU GARBA,07,549,CLASSE CE 1 A
MATAM,OGO,THIAMBE,01,556,CLASSE CM2 A
MATAM,OGO,THIAMBE,02,555,CLASSE CM1 A
MATAM,OGO,THIANCONE BOGUEL,01,490,CLASSE CM 2
MATAM,OGO,THIANCONE BOGUEL,02,491,CLASSE CM 1
MATAM,OGO,THIANCONE BOGUEL,03,426,CLASSE CM 1 B
MATAM,OGO,THIANCONE HIRAYE,01,474,CLASSE CM 2
MATAM,OGO,THIANCONE HIRAYE,02,474,CLASSE CM 1
MATAM,OGO,VASSACODE MBAYLA,01,577,CLASSE CM 2
MATAM,OGO,VASSACODE MBAYLA,02,575,CLASSE CM 1
MATAM,OGO,VASSACODE MBAYLA,03,172,CLASSE CE2 A
