DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,OREFONDE,AGNAM OURO MOLLO,1,421.0,ABRI PROVISOIRE
MATAM,OREFONDE,AGNAM OURO MOLLO,2,422.0,ABRI PROVISOIRE
MATAM,OREFONDE,DIALAGNOL,1,547.0,ECOLE SALLE DE CLASSE
MATAM,OREFONDE,DIALAGNOL,2,552.0,ECOLE SALLE DE CLASSE
MATAM,OREFONDE,DIORBIVOL PECHEURS,1,540.0,CLASSE CP
MATAM,OREFONDE,DIORBIVOL PECHEURS,2,544.0,CLASSE CM2
MATAM,OREFONDE,DIOWGUEL,1,539.0,ECOLE DIOWGUEL CLASSE CP
MATAM,OREFONDE,DIOWGUEL,2,537.0,ECOLE DIOWGUEL CLASSE CE
MATAM,OREFONDE,ECOLE DIORBIVOL STATION,1,374.0,ABRI PROVISOIRE
MATAM,OREFONDE,HODIO,1,548.0,ECOLE ASNDE BALLA CLASSE CI
MATAM,OREFONDE,HODIO,2,548.0,ECOLE ASNDE BALLA CLASSE CM2A
MATAM,OREFONDE,HODIO,3,545.0,ECOLE ASNDE BALLA CLASSE CE2A
MATAM,OREFONDE,HODIO,4,549.0,ECOLE ASNDE BALLA CLASSE CE1A
MATAM,OREFONDE,LOUMBAL BALADJI,1,565.0,ECOLE LOUMBAL BALADJI CIA
MATAM,OREFONDE,LOUMBAL BALADJI,2,568.0,ECOLE LOUMBAL BALADJI CM2
MATAM,OREFONDE,LOUMBAL BALADJI,3,568.0,ECOLE LOUMBAL BALADJI CE2
MATAM,OREFONDE,LOUMBAL BALADJI,4,568.0,SALLE DE CLASSE CP
MATAM,OREFONDE,LOUMBI SANDARABE,1,523.0,CLASSE CE1
MATAM,OREFONDE,LOUMBI SANDARABE,2,141.0,ABRI PROVISOIRE
MATAM,OREFONDE,OREFONDE,1,545.0,ECOLE OREFONDE E1 CLASSE CIB
MATAM,OREFONDE,OREFONDE,2,552.0,ECOLE OREFONDE CLASSE CEIA
MATAM,OREFONDE,OREFONDE,3,549.0,ECOLE OREFONDE 1 CLASSE CE2A
MATAM,OREFONDE,OREFONDE,4,545.0,ECOLE OREFONDE 1 CLASSE CM1A
MATAM,OREFONDE,OREFONDE,5,547.0,ECOLE OREFONDE CLASSE CM2A
MATAM,OREFONDE,OREFONDE,6,548.0,ECOLE OREFONDE 1 CIA
MATAM,OREFONDE,OREFONDE,7,548.0,ABRI PROVISOIRE
MATAM,OREFONDE,OREFONDE,8,549.0,ABRI PROVISOIRE
