DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,THILOGNE,ECOLE 1,01,324,CLASSE CIA
MATAM,THILOGNE,ECOLE 1,02,326,CLASSE CIC
MATAM,THILOGNE,ECOLE 1,03,326,CLASSE CM1A
MATAM,THILOGNE,ECOLE 1,04,325,CLASSE CM2A
MATAM,THILOGNE,ECOLE 1,05,324,CLASSE CE1B
MATAM,THILOGNE,ECOLE 1,06,324,CLASSE C E 2 B
MATAM,THILOGNE,ECOLE 1,07,321,CLASSE CPB
MATAM,THILOGNE,ECOLE 1,08,323,CLASSE CE1A
MATAM,THILOGNE,ECOLE 2,01,577,ECOLE THILOGNE 2 CLASSE CM2A
MATAM,THILOGNE,ECOLE 2,02,573,ECOLE THILOGNE 2 CLASSE CM2B
MATAM,THILOGNE,ECOLE 2,03,572,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,04,574,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,05,574,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,06,575,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,07,572,ABRI PROVISOIRE
MATAM,THILOGNE,ECOLE 3,01,139,SALLE DE CLASSE
