DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RANEROU FERLO,OUDALAYE,BELEL,01,275,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,BOULONE SENO,01,299,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,CIVIABE ORIENTAL,01,568,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,CIVIABE ORIENTAL,02,328,ECOLE SALLE DE CLASSE 2
RANEROU FERLO,OUDALAYE,DENDOUDY DOW,01,221,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,DENDOUDY DOW,02,216,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,DOUNOUBEL,01,76,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,FOURDOU MBAYLA,01,576,ECOLE SALLE 1
RANEROU FERLO,OUDALAYE,FOURDOU MBAYLA,02,576,ECOLE SALLE 2
RANEROU FERLO,OUDALAYE,GASSE DIABE,01,451,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,GASSE SAFALBE,01,317,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,KATANE,01,105,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,KOUROUKARANE,01,122,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,LOUGUE THIECODIE,01,92,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,LOUMBI NIALBY,01,194,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,LOUMBOL SAMBA ABDOUL,01,473,ECOLE SALLE 1
RANEROU FERLO,OUDALAYE,LOUMBOL SAMBA ABDOUL,02,473,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,MBAM,01,468,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,MBOUL BOKI,01,411,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,MODI KELLOL,01,342,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,NAKARA,01,179,ECOLE ELEMENTAIRE DE NAKARA SALLE1
RANEROU FERLO,OUDALAYE,NAOURE,01,572,ECOLE SALLE 1
RANEROU FERLO,OUDALAYE,NAOURE,02,65,ECOLE SALLE 2
RANEROU FERLO,OUDALAYE,OUDALAYE,01,543,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,OUDALAYE,02,542,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,PATOUKI,01,352,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,PETHIEL,01,250,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,SAMBADOGUEL,01,477,ECOLE PUBLIQUE SALLE 1
RANEROU FERLO,OUDALAYE,SINTHIOU MAMOUDOU,01,245,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,YOUNOUFERE,01,484,ECOLE PUBLIQUE SALLE 1
RANEROU FERLO,OUDALAYE,YOUNOUFERE,02,491,ECOLE PUBLIQUE SALLE 2
RANEROU FERLO,OUDALAYE,YOUNOUFERE,03,508,ECOLE PUBLIQUE SALLE 3
RANEROU FERLO,OUDALAYE,YOUNOUFERE,04,149,ECOLE PUBLIQUE SALLE DE CLASSE
