DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,DAGANA,ECOLE ALGOR DIOUM,1,578.0,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,2,567.0,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,3,577.0,CLASSE CE2B
DAGANA,DAGANA,ECOLE ALGOR DIOUM,4,569.0,CLASSE CE1A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,5,574.0,CLASSE CPA
DAGANA,DAGANA,ECOLE ALGOR DIOUM,6,569.0,CLASSE CIA
DAGANA,DAGANA,ECOLE ALGOR DIOUM,7,554.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,8,549.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,9,549.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,10,548.0,ECOLE MATERNELLE COMMUNALE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,11,549.0,ECOLE MATERNELLE COMMUNALE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,12,549.0,ECOLE MATERNELLE COMMUNALE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,1,578.0,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,2,580.0,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,3,577.0,CLASSECE2B
DAGANA,DAGANA,ECOLE ALIOUNE SARR,4,363.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,5,363.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,6,363.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,7,361.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,1,580.0,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,2,576.0,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,3,581.0,CLASSE CE2B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,4,576.0,CLASSE CM2 B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,5,572.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,6,243.0,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE MEDINA CHERIF,1,515.0,CLASSE CM2
DAGANA,DAGANA,ECOLE MEDINA CHERIF,2,514.0,CLASSE CE1
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,1,552.0,LYCEE A. MAYORO WELLE SALLE 1
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,2,560.0,SALLE 3
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,3,570.0,SALLE 5
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,4,556.0,SALLE 7
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,5,557.0,SALLE 9
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,6,555.0,SALLE 11
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,7,398.0,SALLE DE CLASSE
