DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,DIAMA,AL WATHIAM,1,256.0,CLASSE CI
DAGANA,DIAMA,ASSITOYE,1,259.0,SALLE DE CLASSE
DAGANA,DIAMA,DEBI,1,461.0,CLASSE CE 1
DAGANA,DIAMA,DEBI,2,461.0,CLASSE CM 1
DAGANA,DIAMA,DEMIZINE,1,251.0,CLASSE CI
DAGANA,DIAMA,DIADIAM 1,1,329.0,CLASSE CE 2
DAGANA,DIAMA,DIADIAM 3,1,237.0,CLASSE CI
DAGANA,DIAMA,DIAGAMBAL 1,1,475.0,CLASSE CI
DAGANA,DIAMA,DIAGAMBAL 1,2,476.0,CLASSE CM 2
DAGANA,DIAMA,DIAGAMBAL 2,1,527.0,CLASSE CI
DAGANA,DIAMA,DIAMA YALAR,1,561.0,CLASSE CI
DAGANA,DIAMA,DIAMA YALAR,2,557.0,CLASSE CM 1
DAGANA,DIAMA,DIAMA YALAR,3,553.0,SALLE DE CLASSE
DAGANA,DIAMA,DIAMA YALAR,4,135.0,CLASSE CM2 A
DAGANA,DIAMA,ECOLE GANDIAYE,1,297.0,CLASSE CM2
DAGANA,DIAMA,ECOLE MBOLTOGNE,1,229.0,CLASSE CI
DAGANA,DIAMA,ECOLE PONT GENDARME,1,297.0,CLASSE CM2
DAGANA,DIAMA,ECOLE SAVOIGNE PEULH,1,308.0,SALLE DE CLASSE
DAGANA,DIAMA,EL DEBOUBACK 1,1,551.0,CLASSE CI
DAGANA,DIAMA,EL DEBOUBACK 2,1,292.0,CLASSE CP
DAGANA,DIAMA,EL NGOURANE 1,1,264.0,CLASSE CP
DAGANA,DIAMA,MBOUBENE PEULH,1,307.0,CLASSE CM2
DAGANA,DIAMA,MBOUNDOUM BARRAGE,1,574.0,CLASSE CE 2
DAGANA,DIAMA,MBOUNDOUM BARRAGE,2,566.0,CLASSE CP 2
DAGANA,DIAMA,MBOUNDOUM BARRAGE,3,565.0,CLASSE CM 1
DAGANA,DIAMA,MBOUNDOUM BARRAGE,4,149.0,CLASSE CI A
DAGANA,DIAMA,NDELLE,1,489.0,CLASSE CP 2
DAGANA,DIAMA,NDELLE,2,488.0,CLASSE CM 1
DAGANA,DIAMA,NDIAYE NGUINT,1,548.0,CLASSE CE 1
DAGANA,DIAMA,NDIAYE NGUINT,2,548.0,CLASSE CE 2
DAGANA,DIAMA,NDIOL MAURE,1,422.0,CLASSE CP 2
DAGANA,DIAMA,NDIOL MAURE,2,421.0,CLASSE CM 1
DAGANA,DIAMA,NDIOUNGUE MBERESSE,1,355.0,CLASSE CM2 A
DAGANA,DIAMA,NDIOUNGUE MBERESSE,2,355.0,CLASSE CE 1
DAGANA,DIAMA,NIASSENE,1,387.0,CLASSE CM 1
DAGANA,DIAMA,NIASSENE,2,386.0,CLASSE CI
DAGANA,DIAMA,ODABE NAWAR 1,1,247.0,CASE SANTE
DAGANA,DIAMA,OUMARNABE NGUINT,1,133.0,CLASSE CM1
DAGANA,DIAMA,OURO L ISLAM,1,128.0,CLASSE CE 1
DAGANA,DIAMA,PEULH DIOSS,1,435.0,CLASSE CI
DAGANA,DIAMA,PEULH DIOSS,2,363.0,SALLE DE CLASSE
DAGANA,DIAMA,POLO,1,498.0,CLASSE CE2
DAGANA,DIAMA,RAYNABE 2,1,188.0,CLASE SANTE
DAGANA,DIAMA,SAVOIGNE PIONNIERS,1,359.0,CLASSE CE 1
DAGANA,DIAMA,SAVOIGNE PIONNIERS,2,357.0,CLASSE CM 1
DAGANA,DIAMA,SAVOIGNE PIONNIERS,3,357.0,SALLE DE CLASSE
DAGANA,DIAMA,TABA DAROUSSALAM 1,1,428.0,CLASSE CP 2
DAGANA,DIAMA,TABA TACHE,1,369.0,CLASSE CI
DAGANA,DIAMA,TABA TACHE,2,370.0,CLASSE CE1
DAGANA,DIAMA,TABA TREICH,1,494.0,CLASSE CP 2
DAGANA,DIAMA,THILENE,1,280.0,CLASSE CM 1
DAGANA,DIAMA,THILENE,2,279.0,CLASSE CM 2
DAGANA,DIAMA,THILENE,3,279.0,SALLE DE CLASSE
DAGANA,DIAMA,TIGUET,1,502.0,CLASSE CP 2
