DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,MBANE,BADJINCOBE VIDODJI,01,541,CLASSE CP
DAGANA,MBANE,BISNABE BOUTEYNI,01,397,CLASSE CI
DAGANA,MBANE,BISNABE BOUTEYNI,02,397,CLASSE CP
DAGANA,MBANE,BISNABE DIAPOBE,01,263,ABRI PROVISOIRE
DAGANA,MBANE,BISNABE PENDA YAYAKE,01,278,CLASSE CP
DAGANA,MBANE,DIAGLE,01,464,CLASSE CI
DAGANA,MBANE,DIAGLE,02,466,CLASSE CP
DAGANA,MBANE,DIALBANABE BELI NAMARI,01,496,CLASSE CI
DAGANA,MBANE,DIAM DIAYRE,01,157,CLASSE CP
DAGANA,MBANE,DIASSARNABE NDIACK FALL,01,294,CLASSE CP
DAGANA,MBANE,FOSS NDIAKHAYE 1,01,292,CLASSE CE1
DAGANA,MBANE,GANKETTE PENDA YAYAKE,01,94,CLASSE CE1
DAGANA,MBANE,MAPOUDJI,01,282,CLASSE CE 1
DAGANA,MBANE,MBANE,01,566,CLASSE CI
DAGANA,MBANE,MBANE,02,563,CLASSE CP
DAGANA,MBANE,MBANE,03,566,CLASSE CM 1
DAGANA,MBANE,MBELOGNE VIDODJI,01,265,ABRI PROVISOIRE
DAGANA,MBANE,MEDINA BAIDY,01,419,CLASSE CP
DAGANA,MBANE,NDIAKHAYE,01,598,CLASSE CE 1
DAGANA,MBANE,NIASSANTE,01,428,CLASSE CI
DAGANA,MBANE,NIASSANTE,02,428,CLASSE CP
DAGANA,MBANE,NIASSANTE,03,427,CLASSE CM1
DAGANA,MBANE,OULAD BERI,01,165,ABRI PROVISOIRE
DAGANA,MBANE,PAMPINABE 1,01,353,ABRI PROVISOIRE
DAGANA,MBANE,SAGOBE,01,145,CLASSE CP
DAGANA,MBANE,SANINTE TACK,01,348,CLASSE CE2
DAGANA,MBANE,SARE LAMOU,01,511,CLASSE CP
DAGANA,MBANE,SINGOU DIERI,01,408,CLASSE CP
DAGANA,MBANE,SOVONABE NIARY,01,450,CLASSE CE 1
DAGANA,MBANE,SOVONABE PATHE BADIO,01,532,CLASSE CP
DAGANA,MBANE,SOVONABE PATHE BADIO,02,532,CLASSE CE 1
DAGANA,MBANE,TEMEYE,01,384,CLASSE CE2
DAGANA,MBANE,TEMEYE LEWA,01,581,CLASSE CI
DAGANA,MBANE,TEMEYE LEWA,02,28,CLASSE CP
DAGANA,MBANE,TETHIANE MALAL,01,520,ABRI PROVISOIRE
DAGANA,MBANE,TETHIANE MALAL,02,116,ABRI PROVISOIRE
DAGANA,MBANE,THIAGO,01,544,CLASSE CP
DAGANA,MBANE,THIAGO,02,544,CLASSE CE 1
DAGANA,MBANE,WEYNDOU SAMBA,01,467,CLASSE CE 1
DAGANA,MBANE,YELOUR,01,296,CLASSE CI
