DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,01,578,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,02,577,CLASSECM1
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,03,577,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE CAMPEMENT 1,04,578,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE DIACKSAO,01,454,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE DIACKSAO,02,404,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,01,575,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,02,578,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,03,577,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,04,578,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,05,571,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE GALLO MALICK,06,242,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE GAYA 2,01,540,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE GAYA 2,02,543,CLASSE CM1
DAGANA,RICHARD TOLL,ECOLE GAYA 2,03,496,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE GAYA 2,04,326,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE KHOUMA,01,429,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,02,429,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA,03,429,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE KHOUMA,04,429,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE KHOUMA,05,427,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,01,560,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,02,560,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA MBODIENE,03,561,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,01,599,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,02,600,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,03,600,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,04,599,CLASSE CE2
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,05,600,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,06,599,FOYER DES JEUNES KHOUMA
DAGANA,RICHARD TOLL,ECOLE KHOUMA THIARENE,07,600,FOYER DES JEUNES KHOUMA
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,01,588,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,02,582,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,03,586,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,04,585,CLASSE CE2A
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,05,570,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDIANGUE,06,134,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDIAO,01,552,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE NDIAO,02,552,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE NDIAO,03,563,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE NDIAO,04,543,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDIAO,05,363,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE NDOMBO ALARBA,01,361,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE NDOMBO ALARBA,02,363,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,01,571,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,02,571,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,03,570,CLASSE CM1B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,04,571,CLASSE CM2B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,05,571,CLASSE CE3A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,06,568,CLASSE CE1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,07,570,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,08,571,CLASSE CP
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 1,09,570,CLASSE CIA
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,01,562,CLASSE CE2B
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,02,560,CLASSE CM2A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,03,562,CLASSE CM1A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,04,562,CLASSE CE2A
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,05,540,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,06,542,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,07,526,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 3,08,389,SALLE DE CLASSE
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 4,01,526,CLASSE CM2
DAGANA,RICHARD TOLL,ECOLE RICHARD TOLL 4,02,526,CLASSE CM1
