DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,RONKH,BOUNTOU BACK,01,172,CLASSE CI
DAGANA,RONKH,COLONNA DIT BALKI,01,265,CLASSE CI
DAGANA,RONKH,COLONNA DIT BALKI,02,264,CLASSE CP 2
DAGANA,RONKH,DIAWAR,01,492,CLASSE CE 2
DAGANA,RONKH,DIAWAR,02,491,CLASSE CM 1
DAGANA,RONKH,DIAWAR,03,491,CLASSE CM2 A
DAGANA,RONKH,KASSACK NORD,01,498,CLASSE CI
DAGANA,RONKH,KASSACK NORD,02,498,SALLE DE CLASSE
DAGANA,RONKH,KASSACK SUD,01,467,CLASSE CI
DAGANA,RONKH,KHEUNE,01,578,CLASSE CP 2
DAGANA,RONKH,KHOR,01,418,CLASSE CP 2
DAGANA,RONKH,LOUGUEDEMISS,01,183,SALLE DE CLASSE
DAGANA,RONKH,MBOUNDOUM EST,01,295,CLASSE CI
DAGANA,RONKH,NADIEL,01,493,CLASSE CI
DAGANA,RONKH,NDIETENE,01,590,CLASSE CE 2
DAGANA,RONKH,NDIETENE,02,590,CLASSE CI
DAGANA,RONKH,OUROURBE NDAYTI 1,01,384,CLASSE CI
DAGANA,RONKH,OUROURBE NDAYTI 3,01,265,CLASSE CP 2
DAGANA,RONKH,PAKH,01,530,CLASSE CE 1
DAGANA,RONKH,RONKH,01,553,CLASSE CM 1
DAGANA,RONKH,RONKH,02,543,CLASSE CI A
DAGANA,RONKH,RONKH,03,555,CLASSE CE 2
DAGANA,RONKH,RONKH,04,562,CLASSE CM 1A
DAGANA,RONKH,RONKH,05,457,SALLE DE CLASSE
DAGANA,RONKH,THIAGAR,01,462,CLASSE CI
DAGANA,RONKH,THIAGAR,02,462,CLASSE CE 1
DAGANA,RONKH,WASSOUL,01,573,CLASSE CP 2
