DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,1,556.0,CLASSE CE 2
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,2,558.0,CLASSE CI A
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,3,559.0,CLASSE CM2 A
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,4,564.0,CLASSE CM2 B
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,5,554.0,CLASSE CM 1
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,6,557.0,CLASSE CI B
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,7,551.0,SALLE DE CLASSE
DAGANA,ROSS BETHIO,ECOLE ROSS BETHIO,8,320.0,SALLE 8
DAGANA,ROSS BETHIO,ECOLE SANTHIABA,1,558.0,CLASSE CE 2
DAGANA,ROSS BETHIO,ECOLE SANTHIABA,2,559.0,CLASSE CI
DAGANA,ROSS BETHIO,ECOLE SANTHIABA,3,558.0,CLASSE CE 1
DAGANA,ROSS BETHIO,NDIORNO,1,555.0,CLASSE CM2 B
DAGANA,ROSS BETHIO,NDIORNO,2,561.0,CLASSE CE 2
DAGANA,ROSS BETHIO,NDIORNO,3,412.0,SALLE DE CLASSE
DAGANA,ROSS BETHIO,ODABE NAWAR 2,1,276.0,CLASSE CP
DAGANA,ROSS BETHIO,RAYNABE 1,1,574.0,CLASSE CE 2
DAGANA,ROSS BETHIO,RAYNABE 1,2,239.0,SALLE DE CLASSE
