DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,AERE LAO,AERE LAO,1,535.0,CLASSE CP1
PODOR,AERE LAO,AERE LAO,2,536.0,CLASSE CP2
PODOR,AERE LAO,AERE LAO,3,534.0,CLASSE CP2
PODOR,AERE LAO,AERE LAO,4,535.0,CLASSE CM1
PODOR,AERE LAO,AERE LAO,5,536.0,CLASSE CE2
PODOR,AERE LAO,AERE LAO,6,535.0,CLASSE CM2 B
PODOR,AERE LAO,AERE LAO,7,534.0,CLASSE CE2 B
PODOR,AERE LAO,AERE LAO,8,535.0,CLASSE CI A
PODOR,AERE LAO,AERE MBAYBE,1,586.0,CI B
PODOR,AERE LAO,AERE MBAYBE,2,585.0,CM2
PODOR,AERE LAO,AERE MBAYBE,3,587.0,CE 1 A
PODOR,AERE LAO,AERE MBAYBE,4,587.0,CI A
PODOR,AERE LAO,AERE MBAYBE,5,584.0,CLASSE CM1
PODOR,AERE LAO,AERE MBAYBE,6,585.0,CE2 A
PODOR,AERE LAO,AERE MBAYBE,7,587.0,CLASSE CE2
PODOR,AERE LAO,AERE MBAYBE,8,587.0,CLASSE CI A
