DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,BOKE DIALLOUBE,BAROBE,1,520.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BAROBE,2,521.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BELEL THIEDO,1,173.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BIBE - WINDI THILY,1,509.0,CLASSE DE CLASSE CI
PODOR,BOKE DIALLOUBE,BOBOREL,1,411.0,SALLE DE CLASSE CP
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,1,550.0,LYCEE 6A
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,2,549.0,LYCEE 6B
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,3,545.0,LYCEE 5A
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,4,549.0,LYCEE 5B
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,5,546.0,LYCEE 4
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,6,537.0,LYCEE 2NDE L
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,7,546.0,LYCEE 1ERE S
PODOR,BOKE DIALLOUBE,BOKE DIALLOUBE,8,388.0,TERMINALE L
PODOR,BOKE DIALLOUBE,BOKE DIEGUESS,1,300.0,SALLE DE CLASSE CP
PODOR,BOKE DIALLOUBE,BOKE FAFABE FAYEMBE,1,362.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BOKE FAFABE MARIABE,1,294.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,BOKE MBAYBE,1,304.0,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,BOKE MBAYBE,2,304.0,SALLE DE CLASSE CM1
PODOR,BOKE DIALLOUBE,BOKE NAMARI,1,336.0,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,BOKE SALSALBE,1,533.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,DIARANGUEL,1,596.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,DIONGUI,1,386.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,DIONGUI,2,388.0,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,FERLO THIKITE,1,561.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,GADIOBE,1,252.0,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,GAYE KADAR DIALLOUBE,1,569.0,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,GAYE KADAR DIALLOUBE,2,94.0,SALLE DE CLASSE CM 1
PODOR,BOKE DIALLOUBE,GAYE KADAR IRLABE,1,499.0,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,GUELONGAL,1,411.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,HOUGA GUIRWASS,1,245.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,KARAVOYNDOU,1,444.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,KARAVOYNDOU,2,445.0,CLASSE CE2
PODOR,BOKE DIALLOUBE,KOURBOL,1,133.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,LAIKY,1,510.0,CLASSE CE1
PODOR,BOKE DIALLOUBE,LOUGRE MBABA,1,273.0,ABRI PROVISOIRE
PODOR,BOKE DIALLOUBE,NDIAYENE PEULH,1,504.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,NDIAYENE PEULH,2,317.0,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,NGOUYE,1,555.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,NGOUYE,2,163.0,CLASSE CP
PODOR,BOKE DIALLOUBE,OUALLAH,1,526.0,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,SALDE,1,526.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,SALDE,2,526.0,SALLE DE CLASSE CP
PODOR,BOKE DIALLOUBE,SALDE,3,526.0,CLASSE CE2
PODOR,BOKE DIALLOUBE,THIALAMBOL,1,244.0,CLASSE CE2
PODOR,BOKE DIALLOUBE,THIELBI,1,182.0,CLASSE CP
PODOR,BOKE DIALLOUBE,THIKITE,1,479.0,SALLE DE CLASSE CE1
PODOR,BOKE DIALLOUBE,THIKITE,2,478.0,SALLE DE CLASSE CM1
PODOR,BOKE DIALLOUBE,VASSATAKE,1,360.0,SALLE DE CLASSE CI
PODOR,BOKE DIALLOUBE,VASSATAKE,2,358.0,SALLE DE CLASSE CE2
PODOR,BOKE DIALLOUBE,VASSATAKE,3,356.0,SALLE DE CLASSE CM 2
PODOR,BOKE DIALLOUBE,YAVALDE DIALLOUBE,1,401.0,SALLE DE CLASSE
PODOR,BOKE DIALLOUBE,YAVALDE IRLABE,1,563.0,SALLE DE CLASSE
